name,href,page,physical_damage,min_physical_damage,max_physical_damage,avg_physical_damage,critical_hit_chance,attacks_per_second,requirements,required_level,required_dex,implicit
Withered Wand,Withered_Wand,Wands,,,,,,,6 Int,,,Grants Skill: Chaos Bolt
Bone Wand,Bone_Wand,Wands,,,,,,,"Level 2 , 7 Int",2,,Grants Skill: Bone Blast
Attuned Wand,Attuned_Wand,Wands,,,,,,,"Level 2 , 7 Int",2,,Grants Skill: Mana Drain
Siphoning Wand,Siphoning_Wand,Wands,,,,,,,"Level 11 , 23 Int",11,,Grants Skill: Power Siphon
Volatile Wand,Volatile_Wand,Wands,,,,,,,"Level 16 , 31 Int",16,,Grants Skill: Volatile Dead
Galvanic Wand,Galvanic_Wand,Wands,,,,,,,"Level 25 , 46 Int",25,,Grants Skill: Galvanic Field
Acrid Wand,Acrid_Wand,Wands,,,,,,,"Level 33 , 60 Int",33,,Grants Skill: Decompose
Offering Wand,Offering_Wand,Wands,,,,,,,"Level 38 , 69 Int",38,,Grants Skill: Exsanguinate
Frigid Wand,Frigid_Wand,Wands,,,,,,,"Level 45 , 80 Int",45,,Grants Skill: Chaos Bolt
Torture Wand,Torture_Wand,Wands,,,,,,,"Level 49 , 87 Int",49,,Grants Skill: Chaos Bolt
Critical Wand,Critical_Wand,Wands,,,,,,,"Level 52 , 92 Int",52,,Grants Skill: Chaos Bolt
Primordial Wand,Primordial_Wand,Wands,,,,,,,"Level 56 , 99 Int",56,,Grants Skill: Wither
Dueling Wand,Dueling_Wand,Wands,,,,,,,"Level 65 , 114 Int",65,,Grants Skill: Spellslinger
Twisted Wand,Twisted_Wand,Wands,,,,,,,"Level 65 , 114 Int",65,,Grants Skill: Coiling Bolts
Runic Fork,Runic_Fork,Wands,,,,,,,"Level 65 , 114 Int",65,,
Runemastered Runic Fork,Runemastered_Runic_Fork,Wands,,,,,,,"Level 65 , 114 Int",65,,(30 - 50) % chance for Spell Skills to fire 2 additional Projectiles
Runemastered Runic Fork,Runemastered_Runic_Fork,Wands,,,,,,,"Level 65 , 114 Int",65,,(30 - 50) % increased Mana Regeneration Rate
Runemastered Runic Fork,Runemastered_Runic_Fork,Wands,,,,,,,"Level 65 , 114 Int",65,,+300 to maximum Runic Ward
Golden Blade,Golden_Blade,One_Hand_Swords,3-28,3,28,15.5,5%,1.1,,,,+(16 - 24) to all Attributes
Energy Blade,Energy_Blade,One_Hand_Swords,,,,,7%,1.7,,,,Adds to Lightning Damage
Shortsword,Shortsword,One_Hand_Swords,6-9,6,9,7.5,5%,1.55,,,,
Broadsword,Broadsword,One_Hand_Swords,8-13,8,13,10.5,5%,1.6,"Level 6 , 9 Str , 9 Dex",6,9,
Vampiric Blade,Vampiric_Blade,One_Hand_Swords,11-20,11,20,15.5,5%,1.5,"Level 11 , 14 Str , 14 Dex",11,14,
Scimitar,Scimitar,One_Hand_Swords,14-23,14,23,18.5,5%,1.55,"Level 16 , 19 Str , 19 Dex",16,19,
Charred Shortsword,Charred_Shortsword,One_Hand_Swords,19-34,19,34,26.5,5%,1.6,"Level 21 , 23 Str , 23 Dex",21,23,
Sickle Sword,Sickle_Sword,One_Hand_Swords,18-38,18,38,28.0,5%,1.5,"Level 28 , 29 Str , 29 Dex",28,29,
Falchion,Falchion,One_Hand_Swords,27-37,27,37,32.0,5%,1.5,"Level 33 , 34 Str , 34 Dex",33,34,
Treasured Blade,Treasured_Blade,One_Hand_Swords,27-45,27,45,36.0,5%,1.55,"Level 40 , 40 Str , 40 Dex",40,40,
Cutlass,Cutlass,One_Hand_Swords,33-49,33,49,41.0,5%,1.5,"Level 45 , 45 Str , 45 Dex",45,45,
Runic Shortsword,Runic_Shortsword,One_Hand_Swords,26-55,26,55,40.5,5%,1.65,"Level 50 , 49 Str , 49 Dex",50,49,
Messer,Messer,One_Hand_Swords,30-56,30,56,43.0,5%,1.6,"Level 52 , 51 Str , 51 Dex",52,51,
Commander Sword,Commander_Sword,One_Hand_Swords,36-60,36,60,48.0,5%,1.5,"Level 54 , 53 Str , 53 Dex",54,53,
Dark Blade,Dark_Blade,One_Hand_Swords,43-65,43,65,54.0,5%,1.55,"Level 65 , 63 Str , 63 Dex",65,63,
Golden Blade,Golden_Blade,One_Hand_Swords,6-9,6,9,7.5,5%,1.55,,,,
Dull Hatchet,Dull_Hatchet,One_Hand_Axes,4-10,4,10,7.0,5%,1.5,,,,
Hook Axe,Hook_Axe,One_Hand_Axes,5-14,5,14,9.5,5%,1.45,"Level 4 , 9 Str",4,,Grants 1 Rage on Hit
Bearded Axe,Bearded_Axe,One_Hand_Axes,8-21,8,21,14.5,5%,1.45,"Level 10 , 17 Str , 9 Dex",10,9,
Extended Cleaver,Extended_Cleaver,One_Hand_Axes,8-25,8,25,16.5,5%,1.5,"Level 16 , 25 Str , 12 Dex",16,12,Has no Accuracy Penalty from Range
Bandit Hatchet,Bandit_Hatchet,One_Hand_Axes,13-31,13,31,22.0,5%,1.5,"Level 20 , 30 Str , 14 Dex",20,14,
Crescent Axe,Crescent_Axe,One_Hand_Axes,18-37,18,37,27.5,6.5%,1.4,"Level 26 , 38 Str , 17 Dex",26,17,
Carving Hatchet,Carving_Hatchet,One_Hand_Axes,19-44,19,44,31.5,5%,1.5,"Level 33 , 47 Str , 20 Dex",33,20,
Sacrificial Axe,Sacrificial_Axe,One_Hand_Axes,20-42,20,42,31.0,5%,1.5,"Level 37 , 52 Str , 22 Dex",37,22,Gain (28 - 35) Mana per enemy killed
Boarding Hatchet,Boarding_Hatchet,One_Hand_Axes,24-55,24,55,39.5,5%,1.55,"Level 45 , 63 Str , 26 Dex",45,26,
Fury Cleaver,Fury_Cleaver,One_Hand_Axes,30-62,30,62,46.0,5%,1.55,"Level 48 , 67 Str , 27 Dex",48,27,10 % increased Damage taken
Battle Axe,Battle_Axe,One_Hand_Axes,28-65,28,65,46.5,5%,1.5,"Level 52 , 72 Str , 29 Dex",52,29,
Profane Cleaver,Profane_Cleaver,One_Hand_Axes,26-69,26,69,47.5,5%,1.5,"Level 54 , 75 Str , 30 Dex",54,30,
Dread Hatchet,Dread_Hatchet,One_Hand_Axes,34-79,34,79,56.5,5%,1.5,"Level 65 , 89 Str , 36 Dex",65,36,
Wooden Club,Wooden_Club,One_Hand_Maces,6-10,6,10,8.0,5%,1.45,,,,
Smithing Hammer,Smithing_Hammer,One_Hand_Maces,5.5-9,5,9,7.0,5%,1.45,"Level 4 , 11 Str",4,,local weapon implicit hidden % base damage is fire [50]
Slim Mace,Slim_Mace,One_Hand_Maces,11-17,11,17,14.0,5%,1.55,"Level 10 , 21 Str",10,,
Spiked Club,Spiked_Club,One_Hand_Maces,15-24,15,24,19.5,5%,1.45,"Level 16 , 31 Str",16,,
Warpick,Warpick,One_Hand_Maces,18-24,18,24,21.0,7%,1.45,"Level 22 , 41 Str",22,,+(5 - 10) % to Critical Damage Bonus
Plated Mace,Plated_Mace,One_Hand_Maces,18-38,18,38,28.0,5%,1.4,"Level 26 , 48 Str",26,,
Brigand Mace,Brigand_Mace,One_Hand_Maces,28-38,28,38,33.0,5%,1.45,"Level 33 , 60 Str",33,,
Construct Hammer,Construct_Hammer,One_Hand_Maces,31-38,31,38,34.5,5%,1.4,"Level 36 , 65 Str",36,,40 % chance to Daze on Hit
Morning Star,Morning_Star,One_Hand_Maces,33-49,33,49,41.0,6.5%,1.45,"Level 45 , 80 Str",45,,
Jade Club,Jade_Club,One_Hand_Maces,31-51,31,51,41.0,5%,1.45,"Level 49 , 87 Str",49,,Always Hits
Lumen Mace,Lumen_Mace,One_Hand_Maces,36-60,36,60,48.0,5%,1.45,"Level 52 , 92 Str",52,,
Execratus Hammer,Execratus_Hammer,One_Hand_Maces,40-60,40,60,50.0,5%,1.45,"Level 55 , 97 Str",55,,
Torment Club,Torment_Club,One_Hand_Maces,44-73,44,73,58.5,5%,1.45,"Level 65 , 114 Str",65,,
Runemastered Torment Club,Runemastered_Torment_Club,One_Hand_Maces,,,,,5%,1.45,"Level 65 , 114 Str",65,,100 % of Lightning Damage Converted to Cold Damage | local weapon implicit hidden % base damage is cold [100]
Runemastered Torment Club,Runemastered_Torment_Club,One_Hand_Maces,44-73,44,73,58.5,5%,1.45,"Level 65 , 114 Str",65,,Skills Gain (4 - 6) % of damage as Extra Lightning damage per 50 Runic Ward Cost
Runemastered Torment Club,Runemastered_Torment_Club,One_Hand_Maces,44-73,44,73,58.5,5%,1.45,"Level 65 , 114 Str",65,,+(1.5 - 2) metres to Melee Strike Range
Runemastered Torment Club,Runemastered_Torment_Club,One_Hand_Maces,,,,,5%,1.45,"Level 65 , 114 Str",65,,(40 - 60) % increased Lightning Damage | local weapon implicit hidden % base damage is lightning [100]
Runemastered Torment Club,Runemastered_Torment_Club,One_Hand_Maces,44-73,44,73,58.5,5%,1.45,"Level 65 , 114 Str",65,,(50 - 100) % chance for Lightning Skills to Chain an additional time
Runemastered Torment Club,Runemastered_Torment_Club,One_Hand_Maces,54-91,54,91,72.5,5%,1.45,"Level 65 , 124 Str",65,,
Kalguuran Forgehammer,Kalguuran_Forgehammer,One_Hand_Maces,33-55,33,55,44.0,5%,1.45,Level 47,47,,Has 3 Sockets
Calescent Hammer,Calescent_Hammer,One_Hand_Maces,22-37,22,37,29.5,5%,1.45,"Level 45 , 80 Str",45,,local weapon implicit hidden % base damage is fire [50]
Flared Mace,Flared_Mace,One_Hand_Maces,33-50,33,50,41.5,5%,1.55,"Level 48 , 86 Str",48,,
Battle Pick,Battle_Pick,One_Hand_Maces,35-47,35,47,41.0,7%,1.45,"Level 51 , 91 Str",51,,+(5 - 10) % to Critical Damage Bonus
Marching Mace,Marching_Mace,One_Hand_Maces,33-69,33,69,51.0,5%,1.4,"Level 54 , 96 Str",54,,
Runeforged Marching Mace,Runeforged_Marching_Mace,One_Hand_Maces,46-96,46,96,71.0,7.5%,1.4,"Level 65 , 114 Str",65,,
Bandit Mace,Bandit_Mace,One_Hand_Maces,45-61,45,61,53.0,5%,1.45,"Level 59 , 104 Str",59,,
Structured Hammer,Structured_Hammer,One_Hand_Maces,49-60,49,60,54.5,5%,1.4,"Level 62 , 109 Str",62,,40 % chance to Daze on Hit
Runeforged Wooden Club,Runeforged_Wooden_Club,One_Hand_Maces,83-138,83,138,110.5,5%,1.45,"Level 38 , 68 Str",38,,(20 - 30) % increased Area of Effect for Attacks
Runemastered Wooden Club,Runemastered_Wooden_Club,One_Hand_Maces,132-220,132,220,176.0,5%,1.45,"Level 55 , 97 Str",55,,(20 - 30) % increased Area of Effect for Attacks
Runeforged Slim Mace,Runeforged_Slim_Mace,One_Hand_Maces,48-72.5,48,72,60.0,5%,1.55,"Level 38 , 68 Str",38,,local weapon implicit hidden % base damage is cold [50]
Runeforged Spiked Club,Runeforged_Spiked_Club,One_Hand_Maces,56-93,56,93,74.5,5%,1.5,"Level 40 , 72 Str",40,,
Runeforged Warpick,Runeforged_Warpick,One_Hand_Maces,75-102,75,102,88.5,7%,1.45,"Level 38 , 68 Str",38,,(30 - 40) % increased effect of Fully Broken Armour
Runeforged Kalguuran Forgehammer,Runeforged_Kalguuran_Forgehammer,One_Hand_Maces,59-99,59,99,79.0,5%,1.75,Level 65,65,,Has 3 Sockets
Runeforged Kalguuran Forgehammer,Runeforged_Kalguuran_Forgehammer,One_Hand_Maces,98-163,98,163,130.5,5%,1.45,Level 65,65,,Has 3 Sockets
Runeforged Kalguuran Forgehammer,Runeforged_Kalguuran_Forgehammer,One_Hand_Maces,59-99,59,99,79.0,10%,1.45,Level 65,65,,Has 3 Sockets
Runeforged Kalguuran Forgehammer,Runeforged_Kalguuran_Forgehammer,One_Hand_Maces,59-99,59,99,79.0,5%,1.45,Level 65,65,,Has 3 Sockets | +(100 - 150) to maximum Runic Ward
Runeforged Morning Star,Runeforged_Morning_Star,One_Hand_Maces,,,,,6.5%,1.45,"Level 65 , 114 Str",65,,local weapon implicit hidden % base damage is fire [100]
Flanged Mace,Flanged_Mace,One_Hand_Maces,45-67,45,67,56.0,5%,1.55,"Level 67 , 134 Str",67,,
Crown Mace,Crown_Mace,One_Hand_Maces,43-89,43,89,66.0,5%,1.4,"Level 72 , 149 Str",72,,
Molten Hammer,Molten_Hammer,One_Hand_Maces,35.5-59,5,59,32.0,5%,1.45,"Level 77 , 163 Str",77,,local weapon implicit hidden % base damage is fire [50]
Strife Pick,Strife_Pick,One_Hand_Maces,49-66,49,66,57.5,7%,1.45,"Level 78 , 163 Str",78,,+(5 - 10) % to Critical Damage Bonus
Fortified Hammer,Fortified_Hammer,One_Hand_Maces,60-73,60,73,66.5,5%,1.4,"Level 79 , 163 Str",79,,40 % chance to Daze on Hit
Marauding Mace,Marauding_Mace,One_Hand_Maces,51-84,51,84,67.5,5%,1.45,"Level 77 , 163 Str",77,,
Akoyan Club,Akoyan_Club,One_Hand_Maces,46-76,46,76,61.0,5%,1.45,"Level 78 , 163 Str",78,,Always Hits
Rattling Sceptre,Rattling_Sceptre,Sceptres,,,,,,,"4 Str , 5 Int",,,Grants Skill: Skeletal Warrior
Stoic Sceptre,Stoic_Sceptre,Sceptres,,,,,,,"Level 6 , 7 Str , 12 Int",6,,Grants Skill: Discipline
Lupine Sceptre,Lupine_Sceptre,Sceptres,,,,,,,"Level 12 , 10 Str , 20 Int",12,,Grants Skill: Skeletal Warrior
Omen Sceptre,Omen_Sceptre,Sceptres,,,,,,,"Level 16 , 12 Str , 25 Int",16,,Grants Skill: Malice
Ochre Sceptre,Ochre_Sceptre,Sceptres,,,,,,,"Level 21 , 14 Str , 31 Int",21,,Grants Skill: Skeletal Warrior
Shrine Sceptre,Shrine_Sceptre,Sceptres,,,,,,,"Level 26 , 17 Str , 38 Int",26,,Grants Skill: Purity of Fire
Shrine Sceptre,Shrine_Sceptre,Sceptres,,,,,,,"Level 26 , 17 Str , 38 Int",26,,Grants Skill: Purity of Ice
Shrine Sceptre,Shrine_Sceptre,Sceptres,,,,,,,"Level 26 , 17 Str , 38 Int",26,,Grants Skill: Purity of Lightning
Devouring Sceptre,Devouring_Sceptre,Sceptres,,,,,,,"Level 33 , 20 Str , 47 Int",33,,Grants Skill: Skeletal Warrior
Clasped Sceptre,Clasped_Sceptre,Sceptres,,,,,,,"Level 36 , 22 Str , 51 Int",36,,Grants Skill: Heart of Ice
Devotional Sceptre,Devotional_Sceptre,Sceptres,,,,,,,"Level 45 , 26 Str , 63 Int",45,,Grants Skill: Skeletal Warrior
Wrath Sceptre,Wrath_Sceptre,Sceptres,,,,,,,"Level 49 , 28 Str , 68 Int",49,,Grants Skill: Fulmination
Aromatic Sceptre,Aromatic_Sceptre,Sceptres,,,,,,,"Level 52 , 29 Str , 72 Int",52,,Grants Skill: Skeletal Warrior
Pious Sceptre,Pious_Sceptre,Sceptres,,,,,,,"Level 58 , 32 Str , 80 Int",58,,Grants Skill: Skeletal Warrior
Hallowed Sceptre,Hallowed_Sceptre,Sceptres,,,,,,,"Level 65 , 36 Str , 89 Int",65,,Grants Skill: Skeletal Warrior
Shrine Sceptre,Shrine_Sceptre,Sceptres,,,,,,,"Level 26 , 17 Str , 38 Int",26,,Grants Skill: Impurity
Hardwood Spear,Hardwood_Spear,Spears,5-9,5,9,7.0,5%,1.6,,,,Grants Skill: Spear Throw
Ironhead Spear,Ironhead_Spear,Spears,9-12,9,12,10.5,5%,1.6,"Level 5 , 10 Dex",5,10,Grants Skill: Spear Throw
Hunting Spear,Hunting_Spear,Spears,10-17,10,17,13.5,5%,1.55,"Level 10 , 9 Str , 17 Dex",10,17,Grants Skill: Spear Throw | (15 - 25) % chance to Maim on Hit
Winged Spear,Winged_Spear,Spears,12-22,12,22,17.0,5%,1.7,"Level 16 , 12 Str , 25 Dex",16,25,Grants Skill: Spear Throw
War Spear,War_Spear,Spears,16-27,16,27,21.5,5%,1.6,"Level 21 , 14 Str , 31 Dex",21,31,Grants Skill: Spear Throw | (25 - 35) % increased Projectile Speed with this Weapon
Forked Spear,Forked_Spear,Spears,13-38,13,38,25.5,5%,1.55,"Level 26 , 17 Str , 38 Dex",26,38,Grants Skill: Spear Throw
Barbed Spear,Barbed_Spear,Spears,20-38,20,38,29.0,6%,1.5,"Level 33 , 20 Str , 47 Dex",33,47,Grants Skill: Spear Throw | Bleeding you inflict deals Damage (10 - 20) % faster
Broad Spear,Broad_Spear,Spears,32-48,32,48,40.0,5%,1.4,"Level 40 , 26 Str , 55 Dex",40,55,Grants Skill: Spear Throw | 25 % increased Melee Strike Range with this weapon
Crossblade Spear,Crossblade_Spear,Spears,25-52,25,52,38.5,5%,1.6,"Level 45 , 26 Str , 63 Dex",45,63,Grants Skill: Spear Throw | Prevent +(3 - 7) % of Damage from Deflected Hits
Seaglass Spear,Seaglass_Spear,Spears,29-53,29,53,41.0,7%,1.6,"Level 51 , 29 Str , 71 Dex , 50 Int",51,71,Grants Skill: Spear Throw
Sword Spear,Sword_Spear,Spears,30-56,30,56,43.0,5%,1.6,"Level 52 , 29 Str , 72 Dex",52,72,Grants Skill: Spear Throw
Striking Spear,Striking_Spear,Spears,11.5-45.5,5,45,25.0,5%,1.6,"Level 55 , 31 Str , 76 Dex",55,76,Grants Skill: Spear Throw | local weapon implicit hidden % base damage is lightning [50]
Helix Spear,Helix_Spear,Spears,37-68,37,68,52.5,5%,1.6,"Level 65 , 36 Str , 89 Dex",65,89,Grants Skill: Spear Throw
Steelhead Spear,Steelhead_Spear,Spears,33-44,33,44,38.5,5%,1.6,"Level 45 , 26 Str , 63 Dex",45,63,Grants Skill: Spear Throw
Coursing Spear,Coursing_Spear,Spears,31-52,31,52,41.5,5%,1.55,"Level 48 , 27 Str , 67 Dex",48,67,Grants Skill: Spear Throw | (15 - 25) % chance to Maim on Hit
Swift Spear,Swift_Spear,Spears,32-53,32,53,42.5,5%,1.6,"Level 51 , 29 Str , 71 Dex",51,71,Grants Skill: Spear Throw | (25 - 35) % increased Projectile Speed with this Weapon
Branched Spear,Branched_Spear,Spears,23-69,23,69,46.0,5%,1.55,"Level 54 , 30 Str , 75 Dex",54,75,Grants Skill: Spear Throw
Jagged Spear,Jagged_Spear,Spears,33-61,33,61,47.0,6%,1.5,"Level 59 , 33 Str , 81 Dex",59,81,Grants Skill: Spear Throw | Bleeding you inflict deals Damage (10 - 20) % faster
Massive Spear,Massive_Spear,Spears,46-69,46,69,57.5,5%,1.4,"Level 62 , 40 Str , 80 Dex",62,80,Grants Skill: Spear Throw | 25 % increased Melee Strike Range with this weapon
Runeforged Hardwood Spear,Runeforged_Hardwood_Spear,Spears,24-45,24,45,34.5,5%,1.6,"Level 40 , 23 Str , 56 Dex",40,56,Grants Skill: Spear Throw
Runeforged Ironhead Spear,Runeforged_Ironhead_Spear,Spears,40-54,40,54,47.0,5%,1.6,"Level 38 , 23 Str , 54 Dex",38,54,Grants Skill: Spear Throw
Runemastered Ironhead Spear,Runemastered_Ironhead_Spear,Spears,94-127,94,127,110.5,5%,1.25,"Level 55 , 31 Str , 76 Dex",55,76,Grants Skill: Spear Throw
Runeforged Hunting Spear,Runeforged_Hunting_Spear,Spears,65-108,65,108,86.5,5%,1.55,"Level 38 , 23 Str , 54 Dex",38,54,Grants Skill: Spear Throw | (15 - 25) % chance to Maim on Hit
Runeforged Winged Spear,Runeforged_Winged_Spear,Spears,,,,,5%,1.7,"Level 40 , 23 Str , 56 Dex",40,56,Grants Skill: Spear Throw | local weapon implicit hidden % base damage is lightning [100]
Runeforged War Spear,Runeforged_War_Spear,Spears,59-98,59,98,78.5,5%,1.6,"Level 40 , 23 Str , 56 Dex",40,56,Grants Skill: Spear Throw | (25 - 35) % increased Projectile Speed with this Weapon
Runeforged Forked Spear,Runeforged_Forked_Spear,Spears,8-57,8,57,32.5,7%,1.6,"Level 55 , 31 Str , 76 Dex",55,76,Grants Skill: Spear Throw
Runeforged Barbed Spear,Runeforged_Barbed_Spear,Spears,26.52-49.3,52,49,50.5,6%,1.5,"Level 55 , 31 Str , 76 Dex",55,76,Grants Skill: Spear Throw | Bleeding you inflict deals Damage (10 - 20) % faster | local weapon implicit hidden % base damage is fire [66]
Orichalcum Spear,Orichalcum_Spear,Spears,46-62,46,62,54.0,5%,1.6,"Level 67 , 41 Str , 104 Dex",67,104,Grants Skill: Spear Throw
Soaring Spear,Soaring_Spear,Spears,35-65,35,65,50.0,5%,1.7,"Level 70 , 41 Str , 115 Dex",70,115,Grants Skill: Spear Throw
Pronged Spear,Pronged_Spear,Spears,30-89,30,89,59.5,5%,1.55,"Level 72 , 46 Str , 115 Dex",72,115,Grants Skill: Spear Throw
Stalking Spear,Stalking_Spear,Spears,47-79,47,79,63.0,5%,1.55,"Level 77 , 50 Str , 127 Dex",77,127,Grants Skill: Spear Throw | (15 - 25) % chance to Maim on Hit
Flying Spear,Flying_Spear,Spears,46-77,46,77,61.5,5%,1.6,"Level 78 , 50 Str , 127 Dex",78,127,Grants Skill: Spear Throw | (25 - 35) % increased Projectile Speed with this Weapon
Grand Spear,Grand_Spear,Spears,56-84,56,84,70.0,5%,1.4,"Level 79 , 68 Str , 109 Dex",79,109,Grants Skill: Spear Throw | 25 % increased Melee Strike Range with this weapon
Spiked Spear,Spiked_Spear,Spears,41-76,41,76,58.5,6%,1.5,"Level 77 , 50 Str , 127 Dex",77,127,Grants Skill: Spear Throw | Bleeding you inflict deals Damage (10 - 20) % faster
Guardian Spear,Guardian_Spear,Spears,38-79,38,79,58.5,5%,1.55,"Level 75 , 50 Str , 127 Dex",75,127,Grants Skill: Spear Throw | Prevent +(3 - 7) % of Damage from Deflected Hits
Akoyan Spear,Akoyan_Spear,Spears,39-72,39,72,55.5,7%,1.6,"Level 78 , 50 Str , 127 Dex , 90 Int",78,127,Grants Skill: Spear Throw
Splintered Flail,Splintered_Flail,Flails,6-9,6,9,7.5,10%,1.45,,,,
Chain Flail,Chain_Flail,Flails,8-14,8,14,11.0,10%,1.45,"Level 6 , 12 Str",6,,
Holy Flail,Holy_Flail,Flails,10-17,10,17,13.5,10%,1.45,"Level 11 , 18 Str , 9 Int",11,,
Iron Flail,Iron_Flail,Flails,14-23,14,23,18.5,10%,1.45,"Level 16 , 25 Str , 12 Int",16,,
Twin Flail,Twin_Flail,Flails,8-18,8,18,13.0,10%,1.4,"Level 20 , 30 Str , 14 Int",20,,Bifurcates Critical Hits
Slender Flail,Slender_Flail,Flails,19-32,19,32,25.5,8%,1.5,"Level 26 , 38 Str , 17 Int",26,,
Stone Flail,Stone_Flail,Flails,23-38,23,38,30.5,10%,1.45,"Level 33 , 47 Str , 20 Int",33,,Unblockable
Ring Flail,Ring_Flail,Flails,23-44,23,44,33.5,10%,1.45,"Level 38 , 54 Str , 23 Int",38,,
Guarded Flail,Guarded_Flail,Flails,31-57,31,57,44.0,10%,1.4,"Level 45 , 63 Str , 26 Int",45,,
Icicle Flail,Icicle_Flail,Flails,,,,,10%,1.45,"Level 47 , 66 Str , 27 Int",47,,local weapon implicit hidden % base damage is cold [100]
Tearing Flail,Tearing_Flail,Flails,27-56,27,56,41.5,12.5%,1.4,"Level 52 , 72 Str , 29 Int",52,,
Great Flail,Great_Flail,Flails,35-58,35,58,46.5,10%,1.45,"Level 58 , 80 Str , 32 Int",58,,
Abyssal Flail,Abyssal_Flail,Flails,36-66,36,66,51.0,10%,1.45,"Level 65 , 89 Str , 36 Int",65,,
Crude Bow,Crude_Bow,Bows,6-9,6,9,7.5,5%,1.2,,,,
Shortbow,Shortbow,Bows,7-14,7,14,10.5,5%,1.25,"Level 5 , 12 Dex",5,12,
Warden Bow,Warden_Bow,Bows,12-20,12,20,16.0,5%,1.15,"Level 11 , 23 Dex",11,23,(25 - 35) % chance to Chain an additional time
Recurve Bow,Recurve_Bow,Bows,15-31,15,31,23.0,5%,1.1,"Level 16 , 31 Dex",16,31,
Composite Bow,Composite_Bow,Bows,19-31,19,31,25.0,5%,1.2,"Level 22 , 41 Dex",22,41,
Dualstring Bow,Dualstring_Bow,Bows,19-35,19,35,27.0,5%,1.15,"Level 28 , 52 Dex",28,52,+50 % Surpassing chance to fire an additional Arrow
