edge_index,from_node,to_node,from_name,to_name
105,56933,35920,Druidic Champion,Maximum Rage
106,46654,61983,Elemental Resistances,Avatar of Evolution
107,26063,28745,Elemental Damage,Bringer of the Apocalypse
108,62523,26063,Turning of the Seasons,Elemental Damage
109,38014,3762,Slam Area of Effect,Ancestral Empowerment
110,42275,38014,Earthbreaker,Slam Area of Effect
111,60634,27418,Colossal Capacity,Strength
112,35453,42275,Slam Area of Effect,Earthbreaker
113,13715,59372,Stun Buildup,Crushing Impacts
114,19424,60634,Strength,Colossal Capacity
115,27418,30115,Strength,Hulking Form
116,51690,12000,Life Regeneration,Mysterious Lineage
117,29323,24807,Armour,Stone Skin
118,32534,35453,Titan,Slam Area of Effect
119,32534,19424,Titan,Strength
120,32534,13715,Titan,Stun Buildup
121,32534,51690,Titan,Life Regeneration
122,32534,29323,Titan,Armour
123,59372,56842,Crushing Impacts,Stun Buildup
124,56842,59540,Stun Buildup,Mountain Splitter
125,21448,41624,,
126,27155,51742,,
127,31686,10763,,
128,51122,48905,,
129,12040,21448,,
130,41624,56468,,
131,55300,27155,,
132,51742,7659,,
133,38100,59905,,
134,48936,65044,,
135,950,31686,,
136,950,12040,,
137,950,51122,,
138,950,55300,,
139,950,38100,,
140,950,48936,,
141,33582,59091,,
142,31579,12816,,
143,60599,2573,,
144,55382,20041,,
145,44207,33582,,
146,59091,13752,,
147,39614,31579,,
148,12816,19259,,
149,6830,60599,,
150,2573,35388,,
151,35311,39772,,
152,28429,55382,,
153,28429,35311,,
154,28429,44207,,
155,28429,39614,,
156,28429,6830,,
157,40246,36598,,
158,65098,21651,,
159,65098,25495,,
160,14143,40246,,
161,36598,28539,,
162,6799,31425,,
163,40358,21343,,
164,12261,4615,,
165,43012,65098,,
166,21651,44561,,
167,25495,6207,,
168,54579,14143,,
169,54579,6799,,
170,54579,40358,,
171,54579,12261,,
172,54579,43012,,
173,34881,12004,,
174,31553,13216,,
175,62672,9842,,
176,33810,34881,,
177,12004,8532,,
178,28460,31553,,
179,13216,12389,,
180,28814,14199,,
181,41136,42816,,
182,65136,62672,,
183,9842,13434,,
184,16732,28460,,
185,16732,33810,,
186,16732,28814,,
187,16732,41136,,
188,16732,65136,,
189,31558,12411,,
190,12826,30817,,
191,23860,61057,,
192,21773,31558,,
193,12411,18654,,
194,30817,47952,,
195,47642,63748,,
196,38626,12826,,
197,11674,18068,,
198,52088,23860,,
199,61057,23647,,
200,51916,21773,,
201,51916,47642,,
202,51916,38626,,
203,51916,11674,,
204,51916,52088,,
205,21218,7066,Bow Damage,Bow Attack Speed
206,21218,13950,Bow Damage,Reduced Movement Penalty
207,60708,17894,Bow Damage,Her Final Bite
208,45226,21218,Bow Damage,Bow Damage
209,11666,60708,Reduced Movement Penalty,Bow Damage
210,13950,11666,Reduced Movement Penalty,Reduced Movement Penalty
211,7066,23932,Bow Attack Speed,Bow Attack Speed
212,23932,8423,Bow Attack Speed,Bow Attack Speed
213,8423,60708,Bow Attack Speed,Bow Damage
214,17894,58058,Her Final Bite,Bow Mastery
215,47753,51868,Fire Penetration,Molten Carapace
216,36025,44309,Minion Damage,Companion Damage
217,57079,19966,Known by All,Minion Duration
218,57079,15842,Known by All,Minion Mastery
219,44309,44485,Companion Damage,Companion Damage
220,44485,7553,Companion Damage,Trusted Partner
221,829,36025,Minion Duration,Minion Damage
222,19966,829,Minion Duration,Minion Duration
223,43385,64139,Minion Damage,Friend to Many
224,22221,57079,Minion Damage,Known by All
225,7553,43385,Trusted Partner,Minion Damage
226,7553,15842,Trusted Partner,Minion Mastery
227,64139,22221,Friend to Many,Minion Damage
228,64139,15842,Friend to Many,Minion Mastery
229,18353,20496,Physical and Lightning Damage,Physical Damage
230,18353,3544,Physical and Lightning Damage,Lightning Damage
231,42762,58197,Physical Damage,Unquenchable Iron
232,11984,42762,Physical Damage,Physical Damage
233,20496,11984,Physical Damage,Physical Damage
234,3544,19953,Lightning Damage,Lightning Damage
235,19953,50142,Lightning Damage,Lightning Damage
236,50142,58197,Lightning Damage,Unquenchable Iron
237,58197,35980,Unquenchable Iron,Lightning Mastery
238,28201,56174,Armour and Block Chance,Armour
239,28201,10636,Armour and Block Chance,Block Chance
240,56174,1887,Armour,Armour
241,1887,10713,Armour,Armour
242,10713,16615,Armour,Unmoving Craiceann
243,16615,18713,Unmoving Craiceann,Armour and Energy Shield Mastery
244,10636,38697,Block Chance,Block Chance
245,38697,20391,Block Chance,Block Chance
246,20391,16947,Block Chance,Shelter from the Rain
247,16947,18713,Shelter from the Rain,Armour and Energy Shield Mastery
248,32845,64819,Fire Damage,Fire Damage and Armour 
249,23630,19794,Self Immolation,Ignite Magnitude on You
250,23630,17885,Self Immolation,Ignite Magnitude on You
251,23630,38320,Self Immolation,Fire Mastery
252,64819,47753,Fire Damage and Armour ,Fire Penetration
253,31746,32845,Fire Penetration,Fire Damage
254,31746,41012,Fire Penetration,Fire Damage and Armour 
255,51868,19794,Molten Carapace,Ignite Magnitude on You
256,51868,38320,Molten Carapace,Fire Mastery
257,17885,11392,Ignite Magnitude on You,Molten Being
258,11392,38320,Molten Being,Fire Mastery
259,65,15698,Freeze Buildup,Freeze Buildup
260,36504,65,Freeze Buildup,Freeze Buildup
261,55260,19751,Freeze Threshold,Freeze Threshold
262,19751,35618,Freeze Threshold,Cold Coat
263,15698,55260,Freeze Buildup,Freeze Threshold
264,15698,28982,Freeze Buildup,Attribute
265,35618,36504,Cold Coat,Freeze Buildup
266,28589,30300,Armour if Hit,Thorns
267,7395,30007,Retaliation,Thorns
268,7395,46051,Retaliation,Thorns Mastery
269,38670,28589,Armour if Hit,Armour if Hit
270,30007,3188,Thorns,Revenge
271,12565,3245,Thorns and Block,Thorns and Block
272,3245,7395,Thorns and Block,Retaliation
273,30300,12565,Thorns,Thorns and Block
274,30300,1200,Thorns,Attribute
275,3188,38670,Revenge,Armour if Hit
276,3188,46051,Revenge,Thorns Mastery
277,41012,11392,Fire Damage and Armour ,Molten Being
278,24630,63608,Fulmination,Fire Mastery
279,1200,53822,Attribute,Rage when Hit
280,1200,55190,Attribute,[Jewel] Socket
281,1200,62313,Attribute,Armour Applies to Fire Damage Hits
282,1200,18353,Attribute,Physical and Lightning Damage
283,28982,31295,Attribute,Attack Area
284,28982,55190,Attribute,[Jewel] Socket
285,28982,32845,Attribute,Fire Damage
286,28982,45226,Attribute,Bow Damage
287,64489,6952,Attack Area,Attack Area
288,64489,25162,Attack Area,Attack Area
289,25162,59785,Attack Area,Attribute
290,750,6952,Tribal Fury,Attack Area
291,3348,50767,Spirit of the Wolf,Shapeshifting Mastery
292,48314,61896,Shapeshifted Skill Speed,Shapeshifted Critical Chance
293,48314,3348,Shapeshifted Skill Speed,Spirit of the Wolf
294,48314,55897,Shapeshifted Skill Speed,Shapeshifted Mana Regeneration
295,43941,48314,Shapeshifted Skill Speed,Shapeshifted Skill Speed
296,17348,11275,Ignite Magnitude,Fire Penetration
297,11433,24630,Fire Damage,Fulmination
298,11433,44753,Fire Damage,One With Flame
299,15522,17348,Ignite Magnitude,Ignite Magnitude
300,15522,24630,Ignite Magnitude,Fulmination
301,13893,42390,Fire Penetration and Stun Buildup,Overheating Blow
302,11275,13893,Fire Penetration,Fire Penetration and Stun Buildup
303,42390,11433,Overheating Blow,Fire Damage
304,42390,63608,Overheating Blow,Fire Mastery
305,44753,63608,One With Flame,Fire Mastery
306,440,6133,Shield Block,Core of the Guardian
307,14509,9323,Rage on Melee Hit,Craving Slaughter
308,589,14509,Rage on Melee Hit,Rage on Melee Hit
309,46399,589,Rage on Melee Hit,Rage on Melee Hit
310,46399,50820,Rage on Melee Hit,Glory Generation
311,50820,65472,Glory Generation,Glory Generation
312,65472,9323,Glory Generation,Craving Slaughter
313,9323,40395,Craving Slaughter,Attack Mastery
314,65192,63170,Totem Cast and Attack Speed,Totem Cast and Attack Speed and Elemental Resistance
315,33423,65192,Totem Cast and Attack Speed,Totem Cast and Attack Speed
316,15672,45400,Totem Elemental Resistance,Mighty Trunk
317,6999,15672,Totem Elemental Resistance,Totem Elemental Resistance
318,59908,36197,Totem Area of Effect,Totem Placement Speed
319,36197,27096,Totem Placement Speed,Rustle of the Leaves
320,27096,33423,Rustle of the Leaves,Totem Cast and Attack Speed
321,27096,13691,Rustle of the Leaves,Totem Mastery
322,45400,59908,Mighty Trunk,Totem Area of Effect
323,45400,13691,Mighty Trunk,Totem Mastery
324,63170,6999,Totem Cast and Attack Speed and Elemental Resistance,Totem Elemental Resistance
325,61896,53354,Shapeshifted Critical Chance,Shapeshifted Life Leech
326,61896,8850,Shapeshifted Critical Chance,Shapeshifted Critical Chance
327,61393,43941,Shapeshifted Damage,Shapeshifted Skill Speed
328,55897,14432,Shapeshifted Mana Regeneration,Lunar Boon
329,20289,61896,Frozen Claw,Shapeshifted Critical Chance
330,20289,50767,Frozen Claw,Shapeshifting Mastery
331,20989,42984,Attack Area,Attack Area
332,20989,30141,Attack Area,Attribute
333,42984,21184,Attack Area,Attack Area
334,21184,20251,Attack Area,Splitting Ground
335,41768,28982,Attribute,Attribute
336,41768,53123,Attribute,Shaman
337,41768,46399,Attribute,Rage on Melee Hit
338,41768,37484,Attribute,Primal Hunger
339,17349,23940,Armour and Energy Shield,Fortified Aegis
340,17349,58138,Armour and Energy Shield,Armour and Energy Shield Mastery
341,5728,17349,Ancient Aegis,Armour and Energy Shield
342,5728,58138,Ancient Aegis,Armour and Energy Shield Mastery
343,23940,14342,Fortified Aegis,Armour and Energy Shield
344,23940,58138,Fortified Aegis,Armour and Energy Shield Mastery
345,14342,49256,Armour and Energy Shield,Armour and Energy Shield
346,49256,14439,Armour and Energy Shield,Armour and Energy Shield
347,14439,5728,Armour and Energy Shield,Ancient Aegis
348,46384,18746,Wide Barrier,Shield Block
349,46384,58138,Wide Barrier,Armour and Energy Shield Mastery
350,33402,58125,Shield Block,Shield Block
351,58125,10681,Shield Block,Defensive Stance
352,6133,33402,Core of the Guardian,Shield Block
353,6133,58138,Core of the Guardian,Armour and Energy Shield Mastery
354,10681,27581,Defensive Stance,Shield Block
355,10681,58138,Defensive Stance,Armour and Energy Shield Mastery
356,27581,50510,Shield Block,Shield Block
357,50510,46384,Shield Block,Wide Barrier
358,55888,18746,Armour and Energy Shield,Shield Block
359,55888,49256,Armour and Energy Shield,Armour and Energy Shield
360,55888,440,Armour and Energy Shield,Shield Block
361,53354,36250,Shapeshifted Life Leech,Shapeshifted Life Regeneration
362,53354,33408,Shapeshifted Life Leech,Shapeshifted Life Leech
363,53354,20289,Shapeshifted Life Leech,Frozen Claw
364,30141,55190,Attribute,[Jewel] Socket
365,59785,27296,Attribute,Attribute
366,59785,1200,Attribute,Attribute
367,59785,33452,Attribute,Block
368,59785,8852,Attribute,Life Leech and Slower Leech
369,14511,18207,Melee and Stun,Ancestral Boosted Area and Damage
370,14511,53719,Melee and Stun,Attribute
371,54999,14511,Ancestral Boosted Attack Damage and Stun,Melee and Stun
372,64900,54999,Ancestral Boosted Attack Damage and Stun,Ancestral Boosted Attack Damage and Stun
373,30780,17112,Ancestral Boosted Area and Damage,Ancestral Boosted Attack Damage and Stun
374,30780,5410,Ancestral Boosted Area and Damage,Channelled Heritage
375,53261,30780,Ancestral Boosted Area and Damage,Ancestral Boosted Area and Damage
376,18207,53261,Ancestral Boosted Area and Damage,Ancestral Boosted Area and Damage
377,17112,64900,Ancestral Boosted Attack Damage and Stun,Ancestral Boosted Attack Damage and Stun
378,17112,4331,Ancestral Boosted Attack Damage and Stun,Guided Hand
379,5410,33590,Channelled Heritage,Attack Mastery
380,4331,33590,Guided Hand,Attack Mastery
381,36250,56368,Shapeshifted Life Regeneration,Shapeshifted Life Regeneration
382,36250,49214,Shapeshifted Life Regeneration,Blood of the Wolf
383,36250,55897,Shapeshifted Life Regeneration,Shapeshifted Mana Regeneration
384,56368,61393,Shapeshifted Life Regeneration,Shapeshifted Damage
385,49214,50767,Blood of the Wolf,Shapeshifting Mastery
386,375,12276,Mace Damage,Mace Aftershock Chance
387,12276,13980,Mace Aftershock Chance,Split the Earth
388,14693,13937,Mace Damage,Mace Damage
389,13937,17791,Mace Damage,Mace Stun Buildup
390,13980,14832,Split the Earth,Mace Mastery
391,13980,14693,Split the Earth,Mace Damage
392,17791,526,Mace Stun Buildup,Mace Stun Buildup
393,526,2645,Mace Stun Buildup,Skullcrusher
394,2645,14832,Skullcrusher,Mace Mastery
395,2645,52829,Skullcrusher,Mace Damage and Stun Buildup
396,52829,375,Mace Damage and Stun Buildup,Mace Damage
397,51749,30141,Blood Magic,Attribute
398,29611,41768,Attribute,Attribute
399,29611,61393,Attribute,Shapeshifted Damage
400,29611,28201,Attribute,Armour and Block Chance
401,21291,59785,Armour and Slow Effect on You,Attribute
402,21291,32836,Armour and Slow Effect on You,Armour and Slow Effect on You
403,32836,675,Armour and Slow Effect on You,Armour and Slow Effect on You
404,675,13489,Armour and Slow Effect on You,Unbreakable
405,13489,47517,Unbreakable,Armour Mastery
406,11656,53822,Rage when Hit,Rage when Hit
407,11656,9106,Rage when Hit,Rage when Hit
408,9106,54937,Rage when Hit,Vengeful Fury
409,9352,32071,Attack Area,Primal Growth
410,31295,9352,Attack Area,Attack Area
411,32071,15427,Primal Growth,Melee Damage
412,32071,49111,Primal Growth,Attack Mastery
413,39190,8800,Melee Damage,Melee Damage
414,8800,28982,Melee Damage,Attribute
415,15427,57379,Melee Damage,In Your Face
416,57379,39190,In Your Face,Melee Damage
417,57379,49111,In Your Face,Attack Mastery
418,27296,59777,Attribute,Attribute
419,27296,11275,Attribute,Fire Penetration
420,27296,18684,Attribute,Avatar of Fire
421,27296,21670,Attribute,Stun Buildup
422,31554,49929,Increased Duration,Everlasting Bloom
423,49929,31757,Everlasting Bloom,Physical Mastery
424,51535,8852,Life Leech and Slower Leech,Life Leech and Slower Leech
425,18397,55063,Savoured Blood,Life Leech and Slower Leech
426,18397,4139,Savoured Blood,Life Mastery
427,55063,51535,Life Leech and Slower Leech,Life Leech and Slower Leech
428,9328,34782,Spirit of the Bear,Shapeshifting Mastery
429,58496,9328,Shapeshifted Damage against Immobilised,Spirit of the Bear
430,58496,37187,Shapeshifted Damage against Immobilised,Shapeshifted Damage against Immobilised
431,39598,3949,Empowered Attack Damage and Power Counted,Empowered Attack Damage and Power Counted
432,3949,27296,Empowered Attack Damage and Power Counted,Attribute
433,3949,15247,Empowered Attack Damage and Power Counted,Empowered Attack Damage
434,28613,39598,Roaring Cries,Empowered Attack Damage and Power Counted
435,28613,30553,Roaring Cries,Warcry Mastery
436,15247,46683,Empowered Attack Damage,Inherited Strength 
437,46683,30553,Inherited Strength ,Warcry Mastery
438,1130,29611,Flail Damage,Attribute
439,50847,1130,Flail Damage,Flail Damage
440,33393,41747,Flail Damage,Flail Critical Chance
441,42914,33393,Ball and Chain,Flail Damage
442,42914,50847,Ball and Chain,Flail Damage
443,32474,29611,Attribute,Attribute
444,32474,47931,Attribute,Attribute
445,32474,55888,Attribute,Armour and Energy Shield
446,32474,36025,Attribute,Minion Damage
447,32474,61942,Attribute,Lord of the Wilds
448,4442,62034,Armour Applies to Lightning Damage Hits,Prism Guard
449,59886,4442,Armour Applies to Lightning Damage Hits,Armour Applies to Lightning Damage Hits
450,55931,62034,Armour Applies to Fire Damage Hits,Prism Guard
451,55931,62313,Armour Applies to Fire Damage Hits,Armour Applies to Fire Damage Hits
452,33939,62034,Armour Applies to Cold Damage Hits,Prism Guard
453,6872,33939,Armour Applies to Cold Damage Hits,Armour Applies to Cold Damage Hits
454,53123,8421,Shaman,Cold Resistance
455,53123,54982,Shaman,Fire Resistance
456,53123,5862,Shaman,Lightning Resistance
457,34818,43250,Fire Resistance,Adaptive Skin
458,22697,43250,Lightning Resistance,Adaptive Skin
459,8421,35404,Cold Resistance,Cold Resistance
460,35404,43250,Cold Resistance,Adaptive Skin
461,5862,22697,Lightning Resistance,Lightning Resistance
462,54982,34818,Fire Resistance,Fire Resistance
463,37187,14026,Shapeshifted Damage against Immobilised,Shapeshifted Damage against Immobilised
464,37187,63085,Shapeshifted Damage against Immobilised,Shapeshifted Damage
465,55152,5580,Totem Mastery,Watchtowers
466,42710,41186,Totem Placement Speed,Totem Placement Speed
467,65287,5580,Totem Damage,Watchtowers
468,56996,9568,Totem Life,Totem Life
469,9568,5580,Totem Life,Watchtowers
470,58117,41186,Totem Damage,Totem Placement Speed
471,58117,13839,Totem Damage,Totem Damage
472,58117,56996,Totem Damage,Totem Life
473,58117,53719,Totem Damage,Attribute
474,13839,65287,Totem Damage,Totem Damage
475,5580,42710,Watchtowers,Totem Placement Speed
476,59777,10362,Attribute,Armour
477,59777,17791,Attribute,Mace Stun Buildup
478,59777,13937,Attribute,Mace Damage
479,59777,53719,Attribute,Attribute
480,41497,21164,Minion Life and Chaos Resistance,Fleshcrafting
481,30554,29611,Minion Life,Attribute
482,21164,62670,Fleshcrafting,Minion Defence Mastery
483,18245,30554,Minion Life and Physical Damage Reduction,Minion Life
484,18245,21164,Minion Life and Physical Damage Reduction,Fleshcrafting
485,10055,30554,Minion Life and Chaos Resistance,Minion Life
486,10055,41497,Minion Life and Chaos Resistance,Minion Life and Chaos Resistance
487,917,65160,Stun Threshold,Titanic
488,44069,29358,Stun Buildup,Stun Buildup
489,65160,44069,Titanic,Stun Buildup
490,21670,29358,Stun Buildup,Stun Buildup
491,29358,917,Stun Buildup,Stun Threshold
492,30457,54416,Armour,Armour
493,13293,30457,Armour,Armour
494,54416,60274,Armour,Armour
495,60274,13293,Armour,Armour
496,60274,19236,Armour,Projectile Bulwark
497,18448,30141,Attribute,Attribute
498,18448,6872,Attribute,Armour Applies to Cold Damage Hits
499,18448,30457,Attribute,Armour
500,18448,59039,Attribute,Critical Damage
501,19563,47931,Shapeshifted Damage,Attribute
502,19563,58496,Shapeshifted Damage,Shapeshifted Damage against Immobilised
503,19563,6735,Shapeshifted Damage,Shapeshifted Armour
504,34490,18972,Shapeshifted Aftershock Chance,Echoes of Ferocity
505,18972,34782,Echoes of Ferocity,Shapeshifting Mastery
506,47931,33722,Attribute,Attribute
507,47931,39131,Attribute,Attribute
508,47931,9324,Attribute,Ignite Duration
509,47931,53329,Attribute,Flammability and Ignite Magnitude
510,47931,63170,Attribute,Totem Cast and Attack Speed and Elemental Resistance
511,36100,34782,Molten Claw,Shapeshifting Mastery
512,63085,36100,Shapeshifted Damage,Molten Claw
513,63085,34490,Shapeshifted Damage,Shapeshifted Aftershock Chance
514,31290,32474,Armour and Energy Shield,Attribute
515,31290,60332,Armour and Energy Shield,Armour and Energy Shield
516,31290,32764,Armour and Energy Shield,Armour and Energy Shield
517,31290,37609,Armour and Energy Shield,Armour and Energy Shield
518,37609,21213,Armour and Energy Shield,Cirel of Tarth's Light
519,37609,60332,Armour and Energy Shield,Armour and Energy Shield
520,60332,21213,Armour and Energy Shield,Cirel of Tarth's Light
521,32764,21213,Armour and Energy Shield,Cirel of Tarth's Light
522,32764,37609,Armour and Energy Shield,Armour and Energy Shield
523,53719,27082,Attribute,Attribute
524,10362,10830,Armour,Armour
525,10362,9163,Armour,Armour
526,10830,59589,Armour,Heavy Armour
527,59589,52659,Heavy Armour,Life Regeneration
528,44952,9163,Made to Last,Armour
529,6153,44952,Life Regeneration,Made to Last
530,6153,10362,Life Regeneration,Armour
531,52659,10362,Life Regeneration,Armour
532,43460,63678,Shapeshifted Armour,Shapeshifted Armour
533,43460,63085,Shapeshifted Armour,Shapeshifted Damage
534,61847,43443,Flail Critical Chance,Flail Critical Chance
535,59039,28223,Critical Damage,Critical Damage
536,28223,6100,Critical Damage,Critical Damage
537,6100,20963,Critical Damage,Calculated Hunter
538,20963,17587,Calculated Hunter,Critical Mastery
539,29098,43588,Attack and Spell Damage,Attack and Spell Damage
540,29098,10727,Attack and Spell Damage,Emboldening Casts
541,32549,29098,Attack and Spell Damage,Attack and Spell Damage
542,32549,32474,Attack and Spell Damage,Attribute
543,10727,1825,Emboldening Casts,Caster Mastery
544,56237,1825,Enhancing Attacks,Caster Mastery
545,43588,61835,Attack and Spell Damage,Attack and Spell Damage
546,43588,39131,Attack and Spell Damage,Attribute
547,61835,32549,Attack and Spell Damage,Attack and Spell Damage
548,61835,56237,Attack and Spell Damage,Enhancing Attacks
549,41935,34782,Hide of the Bear,Shapeshifting Mastery
550,6735,41935,Shapeshifted Armour,Hide of the Bear
551,6735,43460,Shapeshifted Armour,Shapeshifted Armour
552,33203,55033,Channelling Stun Threshold,Channelling Life Recoup
553,33203,38707,Channelling Stun Threshold,Attribute
554,55033,17059,Channelling Life Recoup,Channelling Stun Threshold
555,17059,6874,Channelling Stun Threshold,Channelling Life Recoup
556,6874,34940,Channelling Life Recoup,Meditative Focus
557,2575,65154,Ancestral Alacrity,Totem Mastery
558,56757,10100,Totem Placement Speed,Attribute
559,11292,2575,Totem Placement Speed,Ancestral Alacrity
560,11292,56757,Totem Placement Speed,Totem Placement Speed
561,49370,6502,Morning Star,Flail Mastery
562,43443,32148,Flail Critical Chance,Rattling Ball
563,43443,49370,Flail Critical Chance,Morning Star
564,43443,8535,Flail Critical Chance,Spiked Whip
565,41747,61847,Flail Critical Chance,Flail Critical Chance
566,53440,11306,Axe Rage on Hit,Axe Rage on Hit
567,52300,53440,Axe Rage on Hit,Axe Rage on Hit
568,11178,24224,Whirling Onslaught,Axe Mastery
569,62439,24224,Enraged Reaver,Axe Mastery
570,62439,52300,Enraged Reaver,Axe Rage on Hit
571,57880,27082,Axe Damage,Attribute
572,57880,6269,Axe Damage,Axe Attack Speed
573,11306,57880,Axe Rage on Hit,Axe Damage
574,6269,45990,Axe Attack Speed,Axe Attack Speed
575,45990,39448,Axe Attack Speed,Axe Attack Speed
576,39448,11178,Axe Attack Speed,Whirling Onslaught
577,33452,23192,Block,Block
578,33452,52796,Block,Shield Damage
579,57471,42578,Hunker Down,Block
580,53823,10508,Towering Shield,Shield Attack Speed
581,21684,1214,Block and Shield Defences,Block and Shield Defences
582,1214,53823,Block and Shield Defences,Towering Shield
583,42578,23192,Block,Block
584,52796,30371,Shield Damage,Shield Damage
585,10508,21684,Shield Attack Speed,Block and Shield Defences
586,30371,27687,Shield Damage,Greatest Defence
587,11525,64724,Flammability and Ignite Magnitude,Flammability and Ignite Magnitude
588,53329,64724,Flammability and Ignite Magnitude,Flammability and Ignite Magnitude
589,53030,11525,Immolation,Flammability and Ignite Magnitude
590,53030,48267,Immolation,Fire Mastery
591,30334,9324,Ignite Duration,Ignite Duration
592,43939,48267,Melting Flames,Fire Mastery
593,43939,56214,Melting Flames,Ignite Duration
594,56214,30334,Ignite Duration,Ignite Duration
595,10824,49734,Armour and Energy Shield,Attribute
596,25648,10824,Armour and Energy Shield,Armour and Energy Shield
597,25648,58894,Armour and Energy Shield,Dominus' Providence
598,25648,45736,Armour and Energy Shield,Armour and Energy Shield
599,43077,26592,Armour and Energy Shield,Armour and Energy Shield
600,43077,43250,Armour and Energy Shield,Adaptive Skin
601,15825,26592,Bhatair's Storm,Armour and Energy Shield
602,45736,15825,Armour and Energy Shield,Bhatair's Storm
603,26592,58894,Armour and Energy Shield,Dominus' Providence
604,30393,58894,Armour and Energy Shield Mastery,Dominus' Providence
605,30393,15825,Armour and Energy Shield Mastery,Bhatair's Storm
606,60068,55925,Rage on Hit,Maximum Rage while Shapeshifted
607,55925,37290,Maximum Rage while Shapeshifted,Maximum Rage while Shapeshifted
608,37869,60068,Later Rage Loss Start,Rage on Hit
609,37869,21413,Later Rage Loss Start,Later Rage Loss Start 
610,28892,13845,Primal Rage,Rage on Hit
611,28892,65042,Primal Rage,Rage Mastery
612,13845,28408,Rage on Hit,Invigorating Hate
613,28408,65042,Invigorating Hate,Rage Mastery
614,21413,28408,Later Rage Loss Start ,Invigorating Hate
