node_key,skill,id,name,type,ascendancy_id,group,orbit,orbit_index,x,y,stats,stat_count,recipe,flavour_text,reminder_text,granted_passive_points,granted_skill_name,granted_skill_type_line,granted_skill_base_type,is_notable,is_keystone,is_mastery,is_jewel_socket,is_ascendancy_start,is_generic_attribute,keystones_in_radius,out,in,edges,icon,active_effect_image,extra_json
33239,33239,,,ascendancy_small,Templar1,3,4,43,-22536.9,-6113.75,,0,,,,,,,,,,,,,,,25881,63764,14|19,,,
23732,23732,,,ascendancy_small,Templar1,3,4,60,-22679.6,-6757.5,,0,,,,,,,,,,,,,,,63764,35715,26|20,,,
35998,35998,,,ascendancy_small,Templar1,3,5,57,-22891.6,-6683.54,,0,,,,,,,,,,,,,,,4986,35715,25|21,,,
21974,21974,,,ascendancy_small,Templar1,3,6,64,-22796.3,-7156.21,,0,,,,,,,,,,,,,,,15918,35715,28|22,,,
47526,47526,,,ascendancy_small,Templar1,3,6,1,-22183.8,-7349.3,,0,,,,,,,,,,,,,,,46103,15918,15|23,,,
35715,35715,,,ascendancy_start,Templar1,3,6,60,-22983.6,-6933,,0,,,,,,,,,,,,true,,,44889|35998|23732|23443|21974,61525,2792|24|25|26|27|28,,,
11335,11335,AscendancyDruid1Small1,Passive Point,ascendancy_small,Druid1,4,0,0,-22256.7,-2244.46,Grants 1 Passive Skill Point,1,,,,1,,,,,,,,,,,5571,42761,6|29,Art/2DArt/SkillIcons/passives/Oracle/OracleNode.png,,
22541,22541,AscendancyWarrior3Notable1,Heat of the Forge,notable,Warrior3,5,0,0,-22167.2,6439.13,Grants Skill: <underline>{Fire Spell on Hit},1,,,,,,Fire Spell on Hit,Fire Spell on Hit,true,,,,,,,,5386,30,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithofKitavaTriggerFireSpellsMeleeWeapon.png,,
5386,5386,AscendancyWarrior3Small1,Fire Damage,ascendancy_small,Warrior3,6,0,0,-22167.2,6819.83,20% increased [Fire] Damage,1,,,,,,,,,,,,,,,22541,5852,50|30,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithofKitavaNode.png,,
15275,15275,AscendancyDruid1Small6,Totem Cast and Attack Speed,ascendancy_small,Druid1,7,0,0,-22028.3,-2725.84,[Spell|Spells] Cast by [Totem|Totems] have 5% increased Cast Speed|[Attack|Attacks] used by Totems have 5% increased [Attack] Speed,2,,,,,,,,,,,,,,,52374,42761,11|31,Art/2DArt/SkillIcons/passives/Oracle/OracleNode.png,,
21284,21284,AscendancyDruid1Small3,Life and Mana Regeneration Rate,ascendancy_small,Druid1,8,0,0,-22028.3,-2474.27,8% increased Life Regeneration rate|8% increased Mana Regeneration Rate,2,,,,,,,,,,,,,,,30904,42761,7|32,Art/2DArt/SkillIcons/passives/Oracle/OracleNode.png,,
57959,57959,AscendancyWarrior3Notable4,Coal Stoker,notable,Warrior3,9,0,0,-21954.6,6074.6,Modifiers to [Resistances|Fire Resistance] also grant [Resistances|Cold and Lightning Resistance] at 50% of their value,1,,,,,,,,true,,,,,,,63401,14960,34|33,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaFireResistAppliesToColdLightning.png,,
14960,14960,AscendancyWarrior3Small4,Fire Resistance,ascendancy_small,Warrior3,10,0,0,-21954.6,6819.83,+8% to [Resistances|Fire Resistance],1,,,,,,,,,,,,,,,57959,5852,51|34,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithofKitavaNode.png,,
5571,5571,AscendancyDruid1Notable2,The Unseen Path,notable,Druid1,11,0,0,-21908.3,-1798.32,Walk the [OraclePaths|Paths Not Taken],1,,,,,,,,true,,,,,,,47190,11335,29|35,Art/2DArt/SkillIcons/passives/Oracle/OracleDiffChoices.png,,
34313,34313,AscendancyDruid1Notable7,The Lesser Harm,notable,Druid1,12,0,0,-21908.3,-3157.38,Enemy [Critical|Critical Hit Chance] against you is [Unlucky]|Damage of Enemies [HitDamage|Hitting] you is [Unlucky],2,,,,,,,,true,,,,,,,378,25092,12|36,Art/2DArt/SkillIcons/passives/Oracle/OracleEnemiesActionsUnlucky.png,,
56505,56505,AscendancyDruid1Small4,Immobilisation Buildup,ascendancy_small,Druid1,13,0,0,-21908.3,-2587.38,20% increased [Immobilised|Immobilisation] buildup,1,,,,,,,,,,,,,,,4197,42761,8|37,Art/2DArt/SkillIcons/passives/Oracle/OracleNode.png,,
39659,39659,AscendancyDruid1Small5,Spell Damage,ascendancy_small,Druid1,14,0,0,-21908.3,-2359.31,12% increased [Spell] Damage,1,,,,,,,,,,,,,,,37782,42761,9|38,Art/2DArt/SkillIcons/passives/Oracle/OracleNode.png,,
60298,60298,AscendancyWarrior3Notable3,Against the Anvil,notable,Warrior3,15,0,0,-21742.6,6439.13,Grants Skill: <underline>{Temper Weapon},1,,,,,,Temper Weapon,Temper Weapon,true,,,,,,,,47236,39,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaImbueMainHandWeapon.png,,
47236,47236,AscendancyWarrior3Small3,Melee Damage,ascendancy_small,Warrior3,16,0,0,-21742.6,6819.83,20% increased [Melee] Damage,1,,,,,,,,,,,,,,,60298,5852,49|39,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithofKitavaNode.png,,
47184,47184,AscendancyWarrior3Notable2,Living Weapon,notable,Warrior3,17,0,0,-21530.6,6439.13,Grants Skill: <underline>{Manifest Weapon},1,,,,,,Manifest Weapon,Manifest Weapon,true,,,,,,,,20895,40,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaCreateMinionMeleeWeapon.png,,
20895,20895,AscendancyWarrior3Small2,Strength,ascendancy_small,Warrior3,18,0,0,-21530.6,6819.83,5% increased [Strength],1,,,,,,,,,,,,,,,47184,5852,48|40,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithofKitavaNode.png,,
64962,64962,AscendancyWarrior3Notable6_11,Dedication to Kitava,notable,Warrior3,19,0,0,-21528.1,7558.75,Body Armour grants +100% of [Armour] also applies to [Chaos|Chaos Damage],1,,,,,,,,true,,,,,,,,9988,69,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus11.png,,"{""hideConnection"":true}"
110,110,AscendancyWarrior3Notable6_10,Internal Layer,notable,Warrior3,20,0,0,-21471,7718.69,Body Armour grants [HitDamage|Hits] against you have 100% reduced [CriticalDamageBonus|Critical Damage Bonus],1,,,,,,,,true,,,,,,,,9988,66,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus10.png,,"{""hideConnection"":true}"
52374,52374,AscendancyDruid1Notable6,Unnamed Heartwood,notable,Druid1,21,0,0,-21437.2,-2913.72,+1 to maximum number of Summoned [Totem|Totems]|[Totem|Totems] die 6 seconds after their Life is reduced to 0,2,,,,,,,,true,,,,,,,,15275,31,Art/2DArt/SkillIcons/passives/Oracle/OracleTotemLimit.png,,
30904,30904,AscendancyDruid1Notable3,Harmony Within,notable,Druid1,22,0,0,-21437.2,-2474.27,[HitDamage|Hit] damage is taken from Mana before Life if your current Mana is higher than your current Life|15% less maximum Life|15% less maximum Mana,3,,,,,,,,true,,,,,,,,21284,32,Art/2DArt/SkillIcons/passives/Oracle/OracleLifeManaHits.png,,
32905,32905,AscendancyDruid1Notable1,Entwined Realities,notable,Druid1,23,6,20,-20590.2,-2324.46,Non-Keystone Passive Skills in Medium Radius of allocated Keystone Passive Skills can be allocated without being connected to your tree,1,,,,,,,,true,,,,,,,,47190,47,Art/2DArt/SkillIcons/passives/Oracle/OraclePassiveTreeAllocation.png,,
55135,55135,AscendancyDruid1Notable8,Forced Outcome,notable,Druid1,23,6,16,-20590.2,-2615.85,[InevitableCriticalHits|Inevitable Critical Hits],1,,,,,,,,true,,,,,,,,378,46,Art/2DArt/SkillIcons/passives/Oracle/OracleRerollingCrit.png,,
22908,22908,AscendancyWarrior3Notable6_6,Tribute to Utula,notable,Warrior3,24,0,0,-21373.2,7868.53,Body Armour grants 30% increased [Spirit],1,,,,,,,,true,,,,,,,,9988,65,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus6.png,,"{""hideConnection"":true}"
48537,48537,AscendancyWarrior3Notable5,Forged in Flame,notable,Warrior3,25,0,0,-21318.6,6439.13,Modifiers to [MaximumResistances|Maximum Fire Resistance] also grant [MaximumResistances|Maximum Cold and Lightning Resistance],1,,,,,,,,true,,,,,,,,63401,41,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaImprovedFireResistAppliesToColdLightning.png,,
63401,63401,AscendancyWarrior3Small5,Fire Resistance,ascendancy_small,Warrior3,26,0,0,-21318.5,6074.6,+8% to [Resistances|Fire Resistance],1,,,,,,,,,,,,,,,48537,57959,33|41,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithofKitavaNode.png,,
8525,8525,AscendancyWarrior3Notable6_7,Leather Bindings,notable,Warrior3,27,0,0,-21238.3,7993.38,Body Armour grants regenerate 3% of maximum Life per second,1,,,,,,,,true,,,,,,,,9988,63,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus7.png,,"{""hideConnection"":true}"
49380,49380,AscendancyWarrior2Small2,Armour Break,ascendancy_small,Warrior2,28,0,0,-21155.2,4078.1,[ArmourBreak|Break] 25% increased [Armour|Armour],1,,,,,,,,,,,,,,,36659,58704,43|42,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerNode.png,,
58704,58704,AscendancyWarrior2Notable1,Anvil's Weight,notable,Warrior2,29,0,0,-21155.2,4441.1,[ArmourBreak|Break Armour] equal to 10% of [HitDamage|Hit Damage] dealt,1,,,,,,,,true,,,,,,,49380,38769,44|43,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerBreakEnemyArmour.png,,
38769,38769,AscendancyWarrior2Small1,Armour Break,ascendancy_small,Warrior2,30,0,0,-21155.2,4804.1,[ArmourBreak|Break] 25% increased [Armour|Armour],1,,,,,,,,,,,,,,,58704,33812,75|44,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerNode.png,,
36659,36659,AscendancyWarrior2Notable2,Imploding Impacts,notable,Warrior2,31,0,0,-21088.1,3827.93,[ArmourBreak|Fully Broken Armour] you inflict increases all Damage Taken from [HitDamage|Hits] instead|You can [ArmourOverbreak|Break Enemy Armour to below 0],2,,,,,,,,true,,,,,,,,49380,42,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerEnemyArmourBrokenBelowZero.png,,
9997,9997,AscendancyWarrior3Notable6_9,Molten Symbol,notable,Warrior3,32,0,0,-21079.7,8080.09,Body Armour grants 25% of [Physical] Damage from [HitDamage|Hits] taken as [Fire] Damage,1,,,,,,,,true,,,,,,,,9988,62,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus9.png,,"{""hideConnection"":true}"
6127,6127,AscendancyWarrior2Notable3,Jade Heritage,notable,Warrior2,33,0,0,-20998.4,4249.81,Gain a stack of [Jade] every second|Grants Skill: <underline>{Encase in Jade},2,,,,,,Encase in Jade,Encase in Jade,true,,,,,,,,18585,45,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerEncasedInJade.png,,
18585,18585,AscendancyWarrior2Small3,Armour,ascendancy_small,Warrior2,34,0,0,-20998.4,4662.96,20% increased [Armour],1,,,,,,,,,,,,,,,6127,33812,76|45,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerNode.png,,
378,378,AscendancyDruid1Small8,Critical Hit Chance,ascendancy_small,Druid1,35,0,0,-20970.1,-3158.38,12% increased [Critical|Critical Hit Chance],1,,,,,,,,,,,,,,,55135,34313,36|46,Art/2DArt/SkillIcons/passives/Oracle/OracleNode.png,,
4197,4197,AscendancyDruid1Notable4,Converging Paths,notable,Druid1,36,0,0,-20970.1,-2587.38,Grants Skill: <underline>{Moment of Vulnerability},1,,,,,,Moment of Vulnerability,Moment of Vulnerability,true,,,,,,,,56505,37,Art/2DArt/SkillIcons/passives/Oracle/OracleRipFromTime.png,,
37782,37782,AscendancyDruid1Notable5,Fateful Vision,notable,Druid1,37,0,0,-20970.1,-2359.33,Grants Skill: <underline>{Align Fate},1,,,,,,Align Fate,Align Fate,true,,,,,,,,39659,38,Art/2DArt/SkillIcons/passives/Oracle/OracleSpellFlux.png,,
47190,47190,AscendancyDruid1Small2,Passive Point,ascendancy_small,Druid1,38,0,0,-20970.1,-1798.32,Grants 1 Passive Skill Point,1,,,,1,,,,,,,,,,,32905,5571,35|47,Art/2DArt/SkillIcons/passives/Oracle/OracleNode.png,,
13772,13772,AscendancyWarrior3Notable6_8,Flowing Metal,notable,Warrior3,39,0,0,-20909.6,8123.71,Body Armour grants +50% of [Armour] also applies to [ElementalDamage|Elemental Damage],1,,,,,,,,true,,,,,,,,9988,64,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus8.png,,"{""hideConnection"":true}"
40915,40915,AscendancyWarrior2Notable7,Wooden Wall,notable,Warrior2,40,0,0,-20900.7,3827.89,20% of Damage from [HitDamage|Hits] is taken from your nearest [Totem|Totem's] Life before you,1,,,,,,,,true,,,,,,,,48682,54,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerDamageTakenByTotems.png,,
5852,5852,AscendancyWarrior3Start,Smith of Kitava,ascendancy_start,Warrior3,41,9,96,-21978.9,7459.09,,0,,,,,,,,,,,,true,,,20895|47236|5386|14960|9988,47175,2786|48|49|50|51|52,Art/2DArt/SkillIcons/passives/damage.png,,
1994,1994,AscendancyWarrior2Small5,Warcry Speed,ascendancy_small,Warrior2,42,0,0,-20833.8,5342.08,20% increased [Warcry|Warcry] Speed,1,,,,,,,,,,,,,,,47097,33812,78|53,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerNode.png,,
48682,48682,AscendancyWarrior2Small7_,Totem Life,ascendancy_small,Warrior2,43,0,0,-20833.7,4078.1,20% increased [Totem] Life,1,,,,,,,,,,,,,,,40915,39411,55|54,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerNode.png,,
39411,39411,AscendancyWarrior2Notable6,Answered Call,notable,Warrior2,44,0,0,-20833.7,4441.1,+1 to maximum number of Summoned [Totem|Totems]|Trigger Ancestral Spirits when you Summon a [Totem]|Grants Skill: <underline>{Ancestral Spirits},3,,,,,,Ancestral Spirits,Ancestral Spirits,true,,,,,,,48682,39365,57|55,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerTotemsDefendedByAncestors.png,,
25935,25935,AscendancyWarrior2Small8,Block Chance,ascendancy_small,Warrior2,45,0,0,-20833.7,5167.88,6% increased [Block] chance,1,,,,,,,,,,,,,,,23005,33812,77|56,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerNode.png,,
39365,39365,AscendancyWarrior2Small6,Totem Life,ascendancy_small,Warrior2,46,0,0,-20833,4804.1,20% increased [Totem] Life,1,,,,,,,,,,,,,,,39411,33812,79|57,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerNode.png,,
9988,9988,AscendancyWarrior3Notable6_0,Smith's Masterwork,notable,Warrior3,47,0,0,-20817.8,7459.09,Can only use a [ItemRarity|Normal] Body Armour|+200 to [Armour] for each Connected Notable Passive Skill Allocated,2,,,,,,,,true,,,,,,,20195|16276|60913|25438|9997|8525|13772|22908|110|49340|61039|64962,5852,52|58|59|60|61|62|63|64|65|66|67|68|69,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaCanOnlyWearNormalRarityBodyArmour.png,,"{""isFree"":true}"
25438,25438,AscendancyWarrior3Notable6_12_,Heatproofing,notable,Warrior3,48,0,0,-20726.4,8123.71,Body Armour grants [Unaffected] by [DamagingAilments|Damaging Ailments],1,,,,,,,,true,,,,,,,,9988,61,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus12.png,,"{""hideConnection"":true}"
49340,49340,AscendancyWarrior3Notable6_4_,Support Straps,notable,Warrior3,49,0,0,-20559.1,8080.09,Body Armour grants 20% increased [Strength],1,,,,,,,,true,,,,,,,,9988,67,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus4.png,,"{""hideConnection"":true}"
35535,35535,AscendancyDruid2Start,Shaman,ascendancy_start,Druid2,50,0,0,-20479.7,-3530.3,,0,,,,,,,,,,,,true,,,1855|33824|61722|54512|28022,61525,2796|70|71|72|73|74,Art/2DArt/SkillIcons/passives/damage.png,,
33812,33812,AscendancyWarrior2Start,Brute,ascendancy_start,Warrior2,51,6,48,-21155.2,5167.88,,0,,,,,,,,,,,,true,,,38769|18585|25935|1994|39365,47175,2787|75|76|77|78|79,Art/2DArt/SkillIcons/passives/damage.png,,
60913,60913,AscendancyWarrior3Notable6_5,Kitavan Engraving,notable,Warrior3,52,0,0,-20401.3,7993.38,Body Armour grants 15% increased maximum Life,1,,,,,,,,true,,,,,,,,9988,60,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus5.png,,"{""hideConnection"":true}"
47097,47097,AscendancyWarrior2Notable4_,Warcaller's Bellow,notable,Warrior2,53,0,0,-20379.9,5421.12,[Warcry|Warcries] Explode [Corpse|Corpses] dealing 25% of their Life as [Physical] Damage|Ignore [Warcry] Cooldowns,2,,,,,,,,true,,,,,,,,1994,53,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerWarcryExplodesCorpses.png,,
23005,23005,AscendancyWarrior2Notable8,Renly's Training,notable,Warrior2,54,0,0,-20376.1,5090.69,Gain 35% Base Chance to [Block] from [Equipped] [Shield] instead of the Shield's value,1,,,,,,,,true,,,,,,,10072,25935,56|80,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerBlockChance.png,,
61039,61039,AscendancyWarrior3Notable6_1,Tantalum Alloy,notable,Warrior3,55,0,0,-20277.3,7868.53,Body Armour grants +75% to [Resistances|Fire Resistance],1,,,,,,,,true,,,,,,,,9988,68,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus1.png,,"{""hideConnection"":true}"
20195,20195,AscendancyWarrior3Notable6_3,Spiked Plates,notable,Warrior3,56,0,0,-20185.1,7718.69,Body Armour grants 100% increased [Thorns|Thorns] damage,1,,,,,,,,true,,,,,,,,9988,58,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus3.png,,"{""hideConnection"":true}"
16276,16276,AscendancyWarrior3Notable6_2,Kitavan Imprint,notable,Warrior3,57,0,0,-20110.7,7558.75,Body Armour grants 60% increased [Glory] generation,1,,,,,,,,true,,,,,,,,9988,59,Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus2.png,,"{""hideConnection"":true}"
16204,16204,AscendancyDruid2Notable7,Sacred Flow,notable,Druid2,58,0,0,-20048.9,-3366.88,+40 to [Spirit] for each of your empty [Charm] slots,1,,,,,,,,true,,,,,,,,1855,103,Art/2DArt/SkillIcons/passives/Shaman/ShamanGainSpiritEmptyCharmSlot.png,,
10072,10072,AscendancyWarrior2Small9,Block Chance,ascendancy_small,Warrior2,59,0,0,-20005.1,5031,6% increased [Block] chance,1,,,,,,,,,,,,,,,52068,23005,80|81,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerNode.png,,
52068,52068,AscendancyWarrior2Notable9,Turtle Charm,notable,Warrior2,60,0,0,-19976.2,5450.01,You take 20% of damage from [Block|Blocked] [HitDamage|Hits]|Maximum [Block] chance is 75%,2,,,,,,,,true,,,,,,,,10072,81,Art/2DArt/SkillIcons/passives/Warbringer/WarbringerCanBlockAllDamageShieldNotRaised.png,,
47628,47628,,,ascendancy_small,Templar2,61,6,49,-20516.5,-6428.68,,0,,,,,,,,,,,,,,,32191,443,85|82,,,
51455,51455,,,ascendancy_small,Templar2,61,6,36,-19756.1,-5944.25,,0,,,,,,,,,,,,,,,,32191,86,,,
62882,62882,,,ascendancy_small,Templar2,61,6,69,-19973.3,-7593.67,,0,,,,,,,,,,,,,,,9216|15462,49398,87|83|84,,,
28385,28385,,,ascendancy_small,Templar2,61,6,7,-19274.9,-7470.52,,0,,,,,,,,,,,,,,,,15462,88,,,
54063,54063,,,ascendancy_small,Templar2,61,4,6,-19512.1,-7205.88,,0,,,,,,,,,,,,,,,,9216,89,,,
2187,2187,,,ascendancy_small,Templar2,61,4,48,-20178.7,-6539.25,,0,,,,,,,,,,,,,,,,21676,90,,,
18096,18096,,,ascendancy_small,Templar2,61,7,16,-19972.6,-6658.25,,0,,,,,,,,,,,,,,,,45846,91,,,
20211,20211,,,ascendancy_small,Templar2,61,7,23,-19820.8,-7024.74,,0,,,,,,,,,,,,,,,,23641,92,,,
443,443,,,ascendancy_small,Templar2,61,6,55,-20591.9,-6856.38,,0,,,,,,,,,,,,,,,47628,26353,93|85,,,
32191,32191,,,ascendancy_small,Templar2,61,6,42,-20175.6,-6056.66,,0,,,,,,,,,,,,,,,51455,47628,82|86,,,
49398,49398,,,ascendancy_small,Templar2,61,6,64,-20295.4,-7425.97,,0,,,,,,,,,,,,,,,62882,26353,97|87,,,
15462,15462,,,ascendancy_small,Templar2,61,6,3,-19539,-7593.67,,0,,,,,,,,,,,,,,,28385,62882,84|88,,,
9216,9216,,,ascendancy_small,Templar2,61,4,68,-19923,-7241.82,,0,,,,,,,,,,,,,,,54063,62882,83|89,,,
21676,21676,,,ascendancy_small,Templar2,61,5,54,-20413.1,-6783.25,,0,,,,,,,,,,,,,,,2187,26353,94|90,,,
45846,45846,,,ascendancy_small,Templar2,61,4,56,-20236.7,-6868,,0,,,,,,,,,,,,,,,18096,26353,95|91,,,
23641,23641,,,ascendancy_small,Templar2,61,4,63,-20101.2,-7128.32,,0,,,,,,,,,,,,,,,20211,26353,96|92,,,
26353,26353,,,ascendancy_start,Templar2,61,6,60,-20482.7,-7202.75,,0,,,,,,,,,,,,true,,,443|21676|45846|23641|49398,61525,2793|93|94|95|96|97,,,
42253,42253,AscendancyDruid2Notable8,Wisdom of the Maji,notable,Druid2,62,0,0,-19751.6,-2934.42,Gain the benefits of [ShamanOnlyMods|Bonded] modifiers on [Rune|Runes] and [Idol|Idols],1,,,,,,,,true,,,,,,,,33824,98,Art/2DArt/SkillIcons/passives/Shaman/ShamanRunesTalismans.png,,
33824,33824,AscendancyDruid2Small8,Defences,ascendancy_small,Druid2,63,0,0,-19751.6,-2501.42,"10% increased [Armour], [Evasion] and [EnergyShield|Energy Shield]",1,,,,,,,,,,,,,,,42253,35535,71|98,Art/2DArt/SkillIcons/passives/Shaman/ShamanNode.png,,
54512,54512,AscendancyDruid2Small3,Maximum Rage,ascendancy_small,Druid2,64,0,0,-19474.5,-2267.34,+3 to Maximum [Rage],1,,,,,,,,,,,,,,,56933,35535,73|99,Art/2DArt/SkillIcons/passives/Shaman/ShamanNode.png,,
58646,58646,AscendancyDruid2Notable4,Reactive Growth,notable,Druid2,65,6,26,-18567.2,-2394.45,10% less [ElementalDamage|Elemental Damage] taken|[Adaptation|Adapt] to the highest [ElementalDamage|Elemental Damage Type] of each [HitDamage|Hit] you take|10% less Damage taken of each [ElementalDamage|Elemental Damage Type] per matching [Adaptation],3,,,,,,,,true,,,,,,,46654,61722,102|100,Art/2DArt/SkillIcons/passives/Shaman/ShamanAdaptToElements.png,,
28022,28022,AscendancyDruid2Small1,Elemental Damage,ascendancy_small,Druid2,65,8,33,-18931.4,-1894.41,12% increased [ElementalDamage|Elemental Damage],1,,,,,,,,,,,,,,,62523,35535,74|101,Art/2DArt/SkillIcons/passives/Shaman/ShamanNode.png,,
61722,61722,AscendancyDruid2Small4_,Elemental Resistances,ascendancy_small,Druid2,65,6,36,-19209.9,-2094.74,+3% to all [ElementalDamage|Elemental] [Resistances],1,,,,,,,,,,,,,,,58646,35535,72|102,Art/2DArt/SkillIcons/passives/Shaman/ShamanNode.png,,
1855,1855,AscendancyDruid2Small7,Flask Recovery,ascendancy_small,Druid2,65,6,54,-20048.9,-2933.74,12% increased Life and Mana Recovery from [Flask|Flasks],1,,,,,,,,,,,,,,,16204,35535,70|103,Art/2DArt/SkillIcons/passives/Shaman/ShamanNode.png,,
35762,35762,AscendancyDruid2Notable6,Furious Wellspring,notable,Druid2,66,0,0,-18771.8,-3366.88,No Inherent loss of [Rage]|Regenerate 6% of your maximum [Rage] per second|Increases and Reductions to Mana Regeneration Rate also apply to [Rage] Regeneration Rate|Skills have +5 to [Rage] cost|+7 to Maximum [Rage],5,,,,,,,,true,,,,,,,,35920,104,Art/2DArt/SkillIcons/passives/Shaman/ShamanRageonHit.png,,
35920,35920,AscendancyDruid2Small6,Maximum Rage,ascendancy_small,Druid2,67,0,0,-18771.8,-2891.07,+3 to Maximum [Rage],1,,,,,,,,,,,,,,,35762,56933,105|104,Art/2DArt/SkillIcons/passives/Shaman/ShamanNode.png,,
56933,56933,AscendancyDruid2Notable3,Druidic Champion,notable,Druid2,68,0,0,-18771.8,-2394.41,Every 2 [Rage] also grants 1% more [Spell] damage,1,,,,,,,,true,,,,,,,35920,54512,99|105,Art/2DArt/SkillIcons/passives/Shaman/ShamanRageAffectsSpells.png,,
