id,int_id,name,page_name,main_page,atlas_sub_tree,type,frame,icon,stat_text_raw,stat_text,flavour_text,reminder_text,connections,connection_count,skill_points,weapon_set_points,buff_id,is_in_game,is_atlas_passive,is_keystone,is_notable,is_starting_node,is_multiple_choice,is_multiple_choice_option,is_icon_only,is_jewel_socket,is_attribute,is_free
AtlasAzmeriSpiritNotable11,,Spill the Sap,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,50% increased Azmeri Spirit empowerment when defeating Spirit-Influenced Magic Monsters,50% increased [[Azmeri Spirit]] empowerment when defeating [[Spirit-Influenced]] [[Magic]] Monsters,,,"AtlasAzmeriSpirit6,AtlasGenericSmall79,AtlasGenericSmall78_",3,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable12,,The Chosen Children,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,Possessed Monsters have 50% increased chance to drop a Rite of Passage,[[Possessed]] Monsters have 50% increased chance to drop a Rite of Passage,,,"AtlasGenericSmall76,AtlasAzmeriSpirit4",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable13,,Those Who Hear,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,Possessed Monsters have 50% increased chance to drop Idols,[[Possessed]] Monsters have 50% increased chance to drop [[Idol]]s,,,"AtlasAzmeriSpirit7,AtlasMagicMonster9_",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable14_,,Hunt the Apex,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,Azmeri Spirits may Possess Map Bosses,[[Azmeri Spirit]]s may [[Possessed|Possess]] [[Map Boss]]es,,,"AtlasGenericSmall77,AtlasHybridLeagueSmall5",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable15,,Unseen Rivers,,,Generic,keystone,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,100% increased chance to encounter certain Azmeri Spirits | Does not impact chance to encounter Sacred Spirits,100% increased chance to encounter certain [[Azmeri Spirit]]s | Does not impact chance to encounter Sacred Spirits,,,AtlasAzmeriSpiritNotable8,1,0,0,,true,true,true,false,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable15a_,,Unseen Rivers: Primal,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,100% increased chance for Azmeri Spirits to be Primal Spirits,100% increased chance for [[Azmeri Spirit]]s to be Primal Spirits,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable15b,,Unseen Rivers: Wild,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,100% increased chance for Azmeri Spirits to be Wild Spirits,100% increased chance for [[Azmeri Spirit]]s to be Wild Spirits,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable15c,,Unseen Rivers: Vivid,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,100% increased chance for Azmeri Spirits to be Vivid Spirits,100% increased chance for [[Azmeri Spirit]]s to be Vivid Spirits,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable16a,,Sacred Sap: Purified,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,25% increased chance for Azmeri Spirits in your Maps to be Sacred Spirits,25% increased chance for [[Azmeri Spirit]]s in your Maps to be Sacred Spirits,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable16b,,Sacred Sap: Commingled,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,When a Monster is Possessed by a Sacred Spirit it is also Possessed by another random Spirit,When a Monster is [[Possessed]] by a Sacred [[Azmerian wisp|Spirit]] it is also [[Possessed]] by another random [[Azmerian wisp|Spirit]],,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable16c,,Sacred Sap: Distilled,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,50% increased Azmeri Spirit empowerment when defeating Spirit-Influenced Monsters,50% increased [[Azmeri Spirit]] empowerment when defeating [[Spirit-Influenced]] Monsters,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable16__,,Sacred Sap,,,Generic,keystone,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,Select a Sacred or Empowered Azmeri Spirits Bonus,Select a Sacred or Empowered [[Azmeri Spirit]]s Bonus,,,AtlasAzmeriSpirit2,1,0,0,,true,true,true,false,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable2,,Spirit-Touched Spoils,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,20% increased Rarity of Items dropped by Possessed Monsters,20% increased Rarity of Items dropped by [[Possessed]] Monsters,,,"AtlasAzmeriSpirit2,AtlasHybridLeagueSmall4",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable3,,Light of the Draíocht,,,Generic,notable,,File:VividPrimalWildWisps (AtlasTrees) passive skill icon.png,Azmeri Spirits have 50% increased Influence Area | 25% increased Azmeri Spirit empowerment when defeating Spirit-Influenced Monsters,[[Azmeri Spirit]]s have 50% increased [[Spirit-Influenced|Influence]] Area | 25% increased [[Azmeri Spirit]] empowerment when defeating [[Spirit-Influenced]] Monsters,,,AtlasGenericSmall75,1,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable5,,Nature of the Beast,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,10% chance for Rare Beasts in Forest Areas to be Possessed by a random Azmeri Spirit,10% chance for Rare [[Monster category|Beasts]] in [[Biome|Forest]] Areas to be [[Possessed]] by a random [[Azmeri Spirit]],,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable6,,Grip of the Wilds,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,50% increased maximum empowerment of Azmeri Spirits,50% increased maximum empowerment of [[Azmeri Spirit]]s,,,"AtlasAzmeriSpirit2,AtlasGenericSmall77,AtlasBiomeGrass1",3,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable7,,Viridi's Sacrifice,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,+50% to minimum empowerment of Azmeri Spirits,+50% to minimum empowerment of [[Azmeri Spirit]]s,,,"AtlasGenericSmall87_,AtlasDeadlyBossDropsExtraRandomLineage3",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable8,,Worthy Hunter,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,Azmeri Spirits may be the Sacred Cunning Fox,[[Azmeri Spirit]]s may be the Sacred Cunning Fox,,,"AtlasAzmeriSpiritNotable15,AtlasGenericSmall79",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable9,,Spoils of the Hunt,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,15% increased Rarity of Items dropped by Spirit-Influenced Monsters,15% increased Rarity of Items dropped by [[Spirit-Influenced]] Monsters,,,"AtlasRareMonsterChance2,AtlasAzmeriSpirit6",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCity1,,City Biome: Rare Monster Modifiers,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,Rare Monsters in City Areas have a 10% increased chance of Monster Modifiers,[[Rare]] Monsters in [[Biome|City]] Areas have a 10% increased chance of [[Monster Modifier]]s,,,"AtlasBiomeCityNotable3_,AtlasBiomeCityNotable1",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCity2,,City Biome: Tablet Effect,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,8% increased Effect of Tablet Explicit Modifiers on your City Maps,8% increased Effect of [[Tablet]] Explicit Modifiers on your [[Biome|City]] Maps,,,"AtlasBiomeCityNotable9,AtlasBiomeCityNotable13,AtlasRogueExiles4",3,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCity3,,City Biome: Rare Monster Modifiers,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,Rare Monsters in City Areas have a 10% increased chance of Monster Modifiers,[[Rare]] Monsters in [[Biome|City]] Areas have a 10% increased chance of [[Monster Modifier]]s,,,"AtlasBiomeCityNotable1,AtlasBiomeCityNotable6",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCity4_,,City Biome: Summoning Circle Chance,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,City Areas have 50% increased chance to contain Summoning Circles,[[Biome|City]] Areas have 50% increased chance to contain [[Summoning Circle]]s,,,"AtlasBiomeCityNotable14,AtlasBiomeCityNotable1",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCity5,,City Biome: Summoning Circle Chance,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,City Areas have 50% increased chance to contain Summoning Circles,[[Biome|City]] Areas have 50% increased chance to contain [[Summoning Circle]]s,,,"AtlasBiomeCityNotable8,AtlasBiomeCityNotable14",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCity6,,City Biome: Tablet Effect,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,8% increased Effect of Tablet Explicit Modifiers on your City Maps,8% increased Effect of [[Tablet]] Explicit Modifiers on your [[Biome|City]] Maps,,,"AtlasBiomeCityNotable1,AtlasGenericSmall32",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCity7,,City Biome: Tablet Effect,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,8% increased Effect of Tablet Explicit Modifiers on your City Maps,8% increased Effect of [[Tablet]] Explicit Modifiers on your [[Biome|City]] Maps,,,"AtlasBiomeCityNotable9,AtlasBiomeCityNotable3_,AtlasBiomeCityNotable15,AtlasBiomeCityNotable4",4,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCity8,,City Biome: Rare Monster Modifiers,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,Rare Monsters in City Areas have a 10% increased chance of Monster Modifiers,[[Rare]] Monsters in [[Biome|City]] Areas have a 10% increased chance of [[Monster Modifier]]s,,,,0,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCity9,,City Biome: Rare Monster Modifiers,,,Generic,small,,File:CityBiomeNode (AtlasTrees) passive skill icon.png,Rare Monsters in City Areas have a 10% increased chance of Monster Modifiers,[[Rare]] Monsters in [[Biome|City]] Areas have a 10% increased chance of [[Monster Modifier]]s,,,,0,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeCityNotable1,,Industrial Improvements,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,An additional Tablet may be used on City Maps,An additional [[Tablet]] may be used on [[Biome|City]] Maps,,,"AtlasBiomeCity3,AtlasBiomeCity4_,AtlasBiomeCity1,AtlasBiomeCity6",4,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable10,,History of the Faridun,,,Generic,keystone,,File:CityBiome (AtlasTrees) passive skill icon.png,Faridun Cities are also considered to be another Biome,Faridun [[Biome|Cities]] are also considered to be another Biome,,,AtlasBiomeCityNotable13,1,0,0,,true,true,true,false,false,false,false,false,false,false,false
AtlasBiomeCityNotable10a,,History of the Faridun: Vastiri Woes,,,Generic,notable,,File:DesertBiome (AtlasTrees) passive skill icon.png,Faridun Cities are also considered Desert Areas,Faridun [[Biome|Cities]] are also considered [[Biome|Desert]] Areas,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable10b,,History of the Faridun: Mutewind Alliance,,,Generic,notable,,File:MountainBiome (AtlasTrees) passive skill icon.png,Faridun Cities are also considered Mountain Areas,Faridun [[Biome|Cities]] are also considered [[Biome|Mountain]] Areas,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable11,,History of the Ezomytes,,,Generic,keystone,,File:CityBiome (AtlasTrees) passive skill icon.png,Ezomyte Cities are also considered to be another Biome,Ezomyte [[Biome|Cities]] are also considered to be another Biome,,,AtlasBiomeCityNotable14,1,0,0,,true,true,true,false,false,false,false,false,false,false,false
AtlasBiomeCityNotable11a,,History of the Ezomytes: Eastern Phaaryl,,,Generic,notable,,File:GrassBiome (AtlasTrees) passive skill icon.png,Ezomyte Cities are also considered Grass Areas,Ezomyte [[Biome|Cities]] are also considered [[Biome|Grass]] Areas,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable11b,,History of the Ezomytes: Northern Ezomyr,,,Generic,notable,,File:SwampBiome (AtlasTrees) passive skill icon.png,Ezomyte Cities are also considered Swamp Areas,Ezomyte [[Biome|Cities]] are also considered [[Biome|Swamp]] Areas,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable12,,History of the Vaal,,,Generic,keystone,,File:CityBiome (AtlasTrees) passive skill icon.png,Vaal Cities are also considered to be another Biome,Vaal [[Biome|Cities]] are also considered to be another Biome,,,AtlasBiomeCityNotable15,1,0,0,,true,true,true,false,false,false,false,false,false,false,false
AtlasBiomeCityNotable12a,,History of the Vaal: Reign of the First Queen,,,Generic,notable,,File:ForestBiome (AtlasTrees) passive skill icon.png,Vaal Cities are also considered Forest Areas,Vaal [[Biome|Cities]] are also considered [[Biome|Forest]] Areas,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable12b,,History of the Vaal: Grand Waterways,,,Generic,notable,,File:WaterBiome (AtlasTrees) passive skill icon.png,Vaal Cities are also considered Water Areas,Vaal [[Biome|Cities]] are also considered [[Biome|Water]] Areas,,,,0,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable13,,Hope in Despair,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,Faridun Cities contain an additional Shrine,Faridun [[Biome|Cities]] contain an additional [[Shrine]],,,"AtlasBiomeCityNotable10,AtlasShrines1,AtlasUniqueMonsterDropRarity6,AtlasBiomeCity2",4,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable14,,Serle's Legacy,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,Ezomyte Cities contain an additional Summoning Circle,Ezomyte [[Biome|Cities]] contain an additional [[Summoning Circle]],,,"AtlasBiomeCityNotable11,AtlasBiomeCity5,AtlasBiomeCity4_",3,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable15,,Monuments in Time,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,Vaal Cities contain an additional Essence,Vaal [[Biome|Cities]] contain an additional [[Essence (encounter)|Essence]],,,"AtlasRareMonsterModifiersChance2,AtlasBiomeCityNotable12,AtlasBiomeCity7",3,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable3_,,Dread Lieutenants,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,Rare Monster Packs in City Areas have a 75% increased chance to have an Additional Rare Monster,[[Rare]] Monster [[Pack]]s in [[Biome|City]] Areas have a 75% increased chance to have an [[Additional Rare Monsters|Additional Rare Monster]],,,"AtlasRarity1,AtlasBiomeCity1,AtlasBiomeCity7",3,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable4,,Just Another Day in Wraeclast,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,City Areas have 15% chance to be Abandoned and occupied by the Undead,[[Biome|City]] Areas have 15% chance to be [[Abandoned City|Abandoned]] and occupied by the Undead,,,AtlasBiomeCity7,1,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable5_,,Urban Sprawl,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,6% increased Pack Size in City Areas,6% increased Pack Size in [[Biome|City]] Areas,,,"AtlasRogueExiles4,AtlasMagicMonster9_",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable6,,Warring Survivors,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,City Areas have a 20% chance to be Invaded by another faction,[[Biome|City]] Areas have a 20% chance to be [[Invaded City|Invaded]] by another faction,,,"AtlasBiomeCityNotable7,AtlasBiomeCity3",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable7,,Warlord's Vendetta,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,Invaded Cities have a 20% chance to include an invading Citadel Boss fighting the Map Boss,[[Invaded City|Invaded]] [[Biome|Cities]] have a 20% chance to include an invading [[Citadel]] Boss fighting the [[Map Boss]],,,AtlasBiomeCityNotable6,1,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable8,,Bring Me Your Leader,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,Summoning Circles in City Areas have 5% chance to instead summon a random Citadel Boss,[[Summoning Circle]]s in [[Biome|City]] Areas have 5% chance to instead summon a random [[Citadel]] Boss,,,AtlasBiomeCity5,1,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeCityNotable9,,Guild Craftsmen,,,Generic,notable,,File:CityBiome (AtlasTrees) passive skill icon.png,Humanoids have 30% increased chance to drop Exceptional Items in City Areas,[[Monster category|Humanoids]] have 30% increased chance to drop [[Exceptional Item]]s in [[Biome|City]] Areas,,,"AtlasBiomeCity2,AtlasBiomeCity7",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeDesert1,,Desert Biome: Essence Chance,,,Generic,small,,File:DesertBiomeNode (AtlasTrees) passive skill icon.png,Desert Areas have 60% increased chance to contain Essences,[[Biome|Desert]] Areas have 60% increased chance to contain [[Essence (encounter)|Essences]],,,"AtlasBiomeDesertNotable1,AtlasEssence6",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeDesert2,,Desert Biome: Rare Monster Chance,,,Generic,small,,File:DesertBiomeNode (AtlasTrees) passive skill icon.png,5% increased Rare Monsters in Desert Areas,5% increased [[Rare]] Monsters in [[Biome|Desert]] Areas,,,"AtlasBiomeDesertNotable2,AtlasBiomeDesertNotable3",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeDesert3,,Desert Biome: Rare Monster Modifiers Chance,,,Generic,small,,File:DesertBiomeNode (AtlasTrees) passive skill icon.png,Rare Monsters in Desert Areas have a 10% increased chance of Monster Modifiers,[[Rare]] Monsters in [[Biome|Desert]] Areas have a 10% increased chance of [[Monster Modifier]]s,,,"AtlasBiomeDesertNotable3,AtlasRareMonsterModifiersChance1,AtlasBiomeDesertNotable1",3,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeDesertNotable1,,Arid Stability,,,Generic,notable,,File:DesertBiome (AtlasTrees) passive skill icon.png,Essences found in Desert Areas have 50% increased chance to be Perfect Essences,[[Essence (encounter)|Essences]] found in [[Biome|Desert]] Areas have 50% increased chance to be Perfect [[Essence (encounter)|Essences]],,,"AtlasBiomeDesert3,AtlasBiomeDesert1",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeDesertNotable2,,Survival of the Fittest,,,Generic,notable,,File:DesertBiome (AtlasTrees) passive skill icon.png,Rare Monster Packs in Desert Areas with Additional Rare Monsters instead have a single Rare Monster with doubled Effectiveness | Rare Monster Packs in Desert Areas have a 100% increased chance to have an Additional Rare Monster,[[Rare]] Monster [[Pack]]s in [[Biome|Desert]] Areas with [[Additional Rare Monsters]] instead have a single [[Rare]] Monster with doubled Effectiveness | [[Rare]] Monster [[Pack]]s in [[Biome|Desert]] Areas have a 100% increased chance to have an [[Additional Rare Monsters|Additional Rare Monster]],,,"AtlasGenericSmall3,AtlasBiomeDesert2",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeDesertNotable3,,Harsh Adaptations,,,Generic,notable,,File:DesertBiome (AtlasTrees) passive skill icon.png,Rare Monsters in Desert Areas have a 50% increased chance of Monster Modifiers,[[Rare]] Monsters in [[Biome|Desert]] Areas have a 50% increased chance of [[Monster Modifier]]s,,,"AtlasBiomeDesert2,AtlasBiomeDesert3",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeForest2,,Forest Biome: Rare Beast Modifiers Chance,,,Generic,small,,File:ForestBiomeNode (AtlasTrees) passive skill icon.png,Rare Beast Monsters in your Maps have a 15% increased chance of Monster Modifiers,[[Rare]] [[Monster category|Beast]] Monsters in your Maps have a 15% increased chance of [[Monster Modifier]]s,,,"AtlasBiomeForestNotable1,AtlasBiomeForestNotable2",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeForest3,,Forest Biome: Azmeri Spirit Chance,,,Generic,small,,File:ForestBiomeNode (AtlasTrees) passive skill icon.png,Forest Areas have 60% increased chance to contain Azmeri Spirits,[[Biome|Forest]] Areas have 60% increased chance to contain [[Azmeri Spirit]]s,,,"AtlasBiomeForestNotable3_,AtlasBiomeForestNotable2,AtlasUniqueMonsterDropRarity9_",3,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasBiomeForestNotable1,,Evolutionary Pressures,,,Generic,notable,,File:ForestBiome (AtlasTrees) passive skill icon.png,25% increased Rare Monsters in Forest Areas,25% increased [[Rare]] Monsters in [[Biome|Forest]] Areas,,,"AtlasBiomeForest2,AtlasRareMonsterChance8",2,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeForestNotable2,,Call of the Spirit,,,Generic,notable,,File:ForestBiome (AtlasTrees) passive skill icon.png,10% chance for Forest Areas to be a Rogue Exile Hunting Ground,10% chance for [[Biome|Forest]] Areas to be a [[Rogue Exile Hunting Ground]],,,"AtlasBiomeForest3,AtlasBiomeForest2,AtlasGenericSmall102",3,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeForestNotable3_,,The Hunt Goes On,,,Generic,notable,,File:ForestBiome (AtlasTrees) passive skill icon.png,10% chance for Rare Beasts in Forest Areas to be Possessed by a random Azmeri Spirit,10% chance for Rare [[Monster category|Beasts]] in [[Biome|Forest]] Areas to be [[Possessed]] by a random [[Azmeri Spirit]],,,AtlasBiomeForest3,1,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasBiomeGenericNotable1,,Apex Predators,,,Generic,notable,,File:GemlingSkillsAdditionalSupport (Gemling) passive skill icon.png,20% increased Rare Monsters in Forest Areas | 20% increased Rare Monsters in Desert Areas,20% increased [[Rare]] Monsters in [[Biome|Forest]] Areas | 20% increased [[Rare]] Monsters in [[Biome|Desert]] Areas,,,"AtlasRareMonsterChance8,AtlasContentTypeSelector1,AtlasRareMonsterChance7,AtlasRareMonsterModifiersChance3",4,0,0,,true,true,false,true,false,false,false,false,false,false,false
