id,name,statText,modDescription,type,tier,level,dropChance,valueRange,tags,modFamily,modType,modGroupId,weights,weightSources,category,isCraftable,isEssenceOnly,craftTags,allImplicitTags,addsTags,spawnTags,spawnWeights,applicableItemTypes,source,stats,displayTiers
AbyssModBowSpearUlamanSuffixChanceForExtraProjectilesWhileMoving,of Ulaman,Projectile Attacks have a (10-18)% chance to fire two additional Projectiles while moving,Projectile Attacks have a (10-18)% chance to fire two additional Projectiles while moving,suffix,1,65,100,"[10, 18]","['unveiled_mod', 'ulaman_mod']",['AdditionalProjectiles'],AdditionalProjectiles,AbyssModBowSpearUlamanSuffixChanceForExtraProjectilesWhileMoving,"[1000, 1000]","['spawn_weight', 'spawn_weight']",AdditionalProjectiles,True,False,"['unveiled_mod', 'ulaman_mod']","['unveiled_mod', 'ulaman_mod']",[],"['bow', 'spear', 'default', 'ulaman_mod']","[{'tag': 'bow', 'weight': 1}, {'tag': 'spear', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]","['bows', 'spears']",AbyssModBowSpearUlamanSuffixChanceForExtraProjectilesWhileMoving,"[{'id': 'projectile_attacks_%_chance_to_fire_2_additional_projectiles_while_moving', 'max': 18, 'min': 10}]","[1, 1]"
AbyssModFocusUlamanPrefixMaximumSpellTotems,Ulaman's,Spell Skills have +1 to maximum number of Summoned Totems,Spell Skills have +1 to maximum number of Summoned Totems,prefix,1,65,100,"[1, 1]","['unveiled_mod', 'ulaman_mod', 'caster']",['AdditionalSpellTotem'],AdditionalSpellTotem,AbyssModFocusUlamanPrefixMaximumSpellTotems,[1000],['spawn_weight'],AdditionalSpellTotem,True,False,"['unveiled_mod', 'ulaman_mod', 'caster']","['unveiled_mod', 'ulaman_mod', 'caster']",[],"['focus', 'default', 'ulaman_mod']","[{'tag': 'focus', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]",['foci'],AbyssModFocusUlamanPrefixMaximumSpellTotems,"[{'id': 'spell_skills_additional_totems_allowed', 'max': 1, 'min': 1}]",[1]
AbyssModAllMacesUlamanPrefixMaximumMeleeAttackTotems,Ulaman's,Melee Attack Skills have +1 to maximum number of Summoned Totems,Melee Attack Skills have +1 to maximum number of Summoned Totems,prefix,1,65,100,"[1, 1]","['unveiled_mod', 'ulaman_mod']",['AdditionalTotems'],AdditionalTotems,AbyssModAllMacesUlamanPrefixMaximumMeleeAttackTotems,"[1000, 1000, 1000]","['spawn_weight', 'spawn_weight', 'spawn_weight']",AdditionalTotems,True,False,"['unveiled_mod', 'ulaman_mod']","['unveiled_mod', 'ulaman_mod']",[],"['mace', 'talisman', 'default', 'ulaman_mod']","[{'tag': 'mace', 'weight': 1}, {'tag': 'talisman', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]","['one_hand_maces', 'two_hand_maces', 'talismans']",AbyssModAllMacesUlamanPrefixMaximumMeleeAttackTotems,"[{'id': 'melee_attack_skills_additional_totems_allowed', 'max': 1, 'min': 1}]","[1, 1, 1]"
AbyssMod1HMaceAmanamuSuffixChanceSlamSkillsCauseAftershocks,of Amanamu,(10-16)% chance for Mace Slam Skills you use yourself to cause an additional Aftershock,(10-16)% chance for Mace Slam Skills you use yourself to cause an additional Aftershock,suffix,1,65,100,"[10, 16]","['unveiled_mod', 'amanamu_mod', 'attack']",['AftershockChance'],AftershockChance,AbyssMod1HMaceAmanamuSuffixChanceSlamSkillsCauseAftershocks,"[1000, 1000]","['spawn_weight', 'spawn_weight']",AftershockChance,True,False,"['unveiled_mod', 'amanamu_mod', 'attack']","['unveiled_mod', 'amanamu_mod', 'attack']",[],"['two_hand_weapon', 'mace', 'default', 'ulaman_mod']","[{'tag': 'two_hand_weapon', 'weight': 0}, {'tag': 'mace', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]","['one_hand_maces', 'talismans']",AbyssMod1HMaceAmanamuSuffixChanceSlamSkillsCauseAftershocks,"[{'id': 'your_mace_slam_aftershock_chance_%', 'max': 16, 'min': 10}]","[1, 1]"
AbyssMod2HMaceAmanamuSuffixChanceSlamSkillsCauseAftershocks,of Amanamu,(16-23)% chance for Mace Slam Skills you use yourself to cause an additional Aftershock,(16-23)% chance for Mace Slam Skills you use yourself to cause an additional Aftershock,suffix,1,65,100,"[16, 23]","['unveiled_mod', 'amanamu_mod', 'attack']",['AftershockChance'],AftershockChance,AbyssMod2HMaceAmanamuSuffixChanceSlamSkillsCauseAftershocks,[1000],['spawn_weight'],AftershockChance,True,False,"['unveiled_mod', 'amanamu_mod', 'attack']","['unveiled_mod', 'amanamu_mod', 'attack']",[],"['one_hand_weapon', 'mace', 'default', 'ulaman_mod']","[{'tag': 'one_hand_weapon', 'weight': 0}, {'tag': 'mace', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]",['two_hand_maces'],AbyssMod2HMaceAmanamuSuffixChanceSlamSkillsCauseAftershocks,"[{'id': 'your_mace_slam_aftershock_chance_%', 'max': 23, 'min': 16}]",[1]
AbyssModGlovesUlamanSuffixAilmentMagnitude,of Ulaman,(10-20)% increased Magnitude of Ailments you inflict,(10-20)% increased Magnitude of Ailments you inflict,suffix,1,65,100,"[10, 20]","['unveiled_mod', 'ulaman_mod', 'damage', 'ailment']",['AilmentEffect'],AilmentEffect,AbyssModGlovesUlamanSuffixAilmentMagnitude,"[1000, 1000, 1000, 1000, 1000, 1000]","['spawn_weight', 'spawn_weight', 'spawn_weight', 'spawn_weight', 'spawn_weight', 'spawn_weight']",AilmentEffect,True,False,"['unveiled_mod', 'ulaman_mod', 'damage', 'ailment']","['unveiled_mod', 'ulaman_mod', 'damage', 'ailment']",[],"['gloves', 'default', 'ulaman_mod']","[{'tag': 'gloves', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]","['gloves_str', 'gloves_dex', 'gloves_int', 'gloves_str_dex', 'gloves_str_int', 'gloves_dex_int']",AbyssModGlovesUlamanSuffixAilmentMagnitude,"[{'id': 'ailment_effect_+%', 'max': 20, 'min': 10}]","[1, 1, 1, 1, 1, 1]"
AbyssModStaffUlamanPrefixMagnitudeOfDamagingAilments,Ulaman's,(40-64)% increased Magnitude of Damaging Ailments you inflict,(40-64)% increased Magnitude of Damaging Ailments you inflict,prefix,1,65,100,"[40, 64]","['unveiled_mod', 'ulaman_mod', 'ailment']",['AilmentEffect'],AilmentEffect,AbyssModStaffUlamanPrefixMagnitudeOfDamagingAilments,[1000],['spawn_weight'],AilmentEffect,True,False,"['unveiled_mod', 'ulaman_mod', 'ailment']","['unveiled_mod', 'ulaman_mod', 'ailment']",[],"['staff', 'default', 'ulaman_mod']","[{'tag': 'staff', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]",['staves'],AbyssModStaffUlamanPrefixMagnitudeOfDamagingAilments,"[{'id': 'base_damaging_ailment_effect_+%', 'max': 64, 'min': 40}]",[1]
AllAttributes1,of the Clouds,+(2-4) to all Attributes,+(2-4) to all Attributes,suffix,1,1,100,"[2, 4]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes1,"[400, 800]","['krakenbull', 'krakenbull']",AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'ring', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['rings', 'amulets']",AllAttributes1,"[{'id': 'additional_all_attributes', 'max': 4, 'min': 2}]","[4, 9]"
AllAttributes2,of the Sky,+(5-7) to all Attributes,+(5-7) to all Attributes,suffix,2,11,100,"[5, 7]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes2,"[400, 800]","['krakenbull', 'krakenbull']",AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'ring', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['rings', 'amulets']",AllAttributes2,"[{'id': 'additional_all_attributes', 'max': 7, 'min': 5}]","[3, 8]"
AllAttributes3,of the Meteor,+(8-10) to all Attributes,+(8-10) to all Attributes,suffix,3,22,100,"[8, 10]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes3,"[400, 800]","['krakenbull', 'krakenbull']",AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'ring', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['rings', 'amulets']",AllAttributes3,"[{'id': 'additional_all_attributes', 'max': 10, 'min': 8}]","[2, 7]"
AllAttributes4,of the Comet,+(11-13) to all Attributes,+(11-13) to all Attributes,suffix,4,33,100,"[11, 13]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes4,"[400, 800]","['krakenbull', 'krakenbull']",AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'ring', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['rings', 'amulets']",AllAttributes4,"[{'id': 'additional_all_attributes', 'max': 13, 'min': 11}]","[1, 6]"
AllAttributes5,of the Heavens,+(14-16) to all Attributes,+(14-16) to all Attributes,suffix,5,44,100,"[14, 16]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes5,[800],['krakenbull'],AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['amulets'],AllAttributes5,"[{'id': 'additional_all_attributes', 'max': 16, 'min': 14}]",[5]
AllAttributes6,of the Galaxy,+(17-18) to all Attributes,+(17-18) to all Attributes,suffix,6,55,100,"[17, 18]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes6,[800],['krakenbull'],AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['amulets'],AllAttributes6,"[{'id': 'additional_all_attributes', 'max': 18, 'min': 17}]",[4]
AllAttributes7,of the Universe,+(19-20) to all Attributes,+(19-20) to all Attributes,suffix,7,66,100,"[19, 20]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes7,[800],['krakenbull'],AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['amulets'],AllAttributes7,"[{'id': 'additional_all_attributes', 'max': 20, 'min': 19}]",[3]
AllAttributes8,of the Multiverse,+(21-22) to all Attributes,+(21-22) to all Attributes,suffix,8,75,100,"[21, 22]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes8,[800],['krakenbull'],AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['amulets'],AllAttributes8,"[{'id': 'additional_all_attributes', 'max': 22, 'min': 21}]",[2]
AllAttributes9_,of the Infinite,+(23-24) to all Attributes,+(23-24) to all Attributes,suffix,9,82,100,"[23, 24]",['attribute'],['AllAttributes'],AllAttributes,AllAttributes9_,[800],['krakenbull'],AllAttributes,True,False,['attribute'],['attribute'],[],"['amulet', 'default']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['amulets'],AllAttributes9_,"[{'id': 'additional_all_attributes', 'max': 24, 'min': 23}]",[1]
NearbyAlliesAllDamage1,Coercive,Allies in your Presence deal (25-34)% increased Damage,Allies in your Presence deal (25-34)% increased Damage,prefix,1,1,100,"[25, 34]",['damage'],['AllDamage'],AllDamage,NearbyAlliesAllDamage1,[1000],['krakenbull'],AllDamage,True,False,['damage'],['damage'],[],"['sceptre', 'default']","[{'tag': 'sceptre', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['sceptres'],NearbyAlliesAllDamage1,"[{'id': 'allies_in_presence_damage_+%', 'max': 34, 'min': 25}]",[8]
NearbyAlliesAllDamage2,Agitative,Allies in your Presence deal (35-44)% increased Damage,Allies in your Presence deal (35-44)% increased Damage,prefix,2,8,100,"[35, 44]",['damage'],['AllDamage'],AllDamage,NearbyAlliesAllDamage2,[1000],['krakenbull'],AllDamage,True,False,['damage'],['damage'],[],"['sceptre', 'default']","[{'tag': 'sceptre', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['sceptres'],NearbyAlliesAllDamage2,"[{'id': 'allies_in_presence_damage_+%', 'max': 44, 'min': 35}]",[7]
NearbyAlliesAllDamage3,Instigative,Allies in your Presence deal (45-54)% increased Damage,Allies in your Presence deal (45-54)% increased Damage,prefix,3,16,100,"[45, 54]",['damage'],['AllDamage'],AllDamage,NearbyAlliesAllDamage3,[1000],['krakenbull'],AllDamage,True,False,['damage'],['damage'],[],"['sceptre', 'default']","[{'tag': 'sceptre', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['sceptres'],NearbyAlliesAllDamage3,"[{'id': 'allies_in_presence_damage_+%', 'max': 54, 'min': 45}]",[6]
NearbyAlliesAllDamage4,Provocative,Allies in your Presence deal (55-64)% increased Damage,Allies in your Presence deal (55-64)% increased Damage,prefix,4,33,100,"[55, 64]",['damage'],['AllDamage'],AllDamage,NearbyAlliesAllDamage4,[600],['krakenbull'],AllDamage,True,False,['damage'],['damage'],[],"['sceptre', 'default']","[{'tag': 'sceptre', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['sceptres'],NearbyAlliesAllDamage4,"[{'id': 'allies_in_presence_damage_+%', 'max': 64, 'min': 55}]",[5]
NearbyAlliesAllDamage5,Persuasive,Allies in your Presence deal (65-74)% increased Damage,Allies in your Presence deal (65-74)% increased Damage,prefix,5,46,100,"[65, 74]",['damage'],['AllDamage'],AllDamage,NearbyAlliesAllDamage5,[400],['krakenbull'],AllDamage,True,False,['damage'],['damage'],[],"['sceptre', 'default']","[{'tag': 'sceptre', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['sceptres'],NearbyAlliesAllDamage5,"[{'id': 'allies_in_presence_damage_+%', 'max': 74, 'min': 65}]",[4]
NearbyAlliesAllDamage6,Motivating,Allies in your Presence deal (75-89)% increased Damage,Allies in your Presence deal (75-89)% increased Damage,prefix,6,60,100,"[75, 89]",['damage'],['AllDamage'],AllDamage,NearbyAlliesAllDamage6,[200],['krakenbull'],AllDamage,True,False,['damage'],['damage'],[],"['sceptre', 'default']","[{'tag': 'sceptre', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['sceptres'],NearbyAlliesAllDamage6,"[{'id': 'allies_in_presence_damage_+%', 'max': 89, 'min': 75}]",[3]
NearbyAlliesAllDamage7,Inspirational,Allies in your Presence deal (90-104)% increased Damage,Allies in your Presence deal (90-104)% increased Damage,prefix,7,70,100,"[90, 104]",['damage'],['AllDamage'],AllDamage,NearbyAlliesAllDamage7,[100],['krakenbull'],AllDamage,True,False,['damage'],['damage'],[],"['sceptre', 'default']","[{'tag': 'sceptre', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['sceptres'],NearbyAlliesAllDamage7,"[{'id': 'allies_in_presence_damage_+%', 'max': 104, 'min': 90}]",[2]
NearbyAlliesAllDamage8,Empowering,Allies in your Presence deal (105-119)% increased Damage,Allies in your Presence deal (105-119)% increased Damage,prefix,8,82,100,"[105, 119]",['damage'],['AllDamage'],AllDamage,NearbyAlliesAllDamage8,[50],['krakenbull'],AllDamage,True,False,['damage'],['damage'],[],"['sceptre', 'default']","[{'tag': 'sceptre', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['sceptres'],NearbyAlliesAllDamage8,"[{'id': 'allies_in_presence_damage_+%', 'max': 119, 'min': 105}]",[1]
AbyssModAmuletAmanamuPrefixGlobalDefences,Amanamu's,(15-25)% increased Global Defences,(15-25)% increased Global Defences,prefix,1,65,100,"[15, 25]","['unveiled_mod', 'amanamu_mod', 'defences']",['AllDefences'],AllDefences,AbyssModAmuletAmanamuPrefixGlobalDefences,[950],['spawn_weight'],AllDefences,True,False,"['unveiled_mod', 'amanamu_mod', 'defences']","['unveiled_mod', 'amanamu_mod', 'defences']",[],"['amulet', 'default', 'amanamu_mod']","[{'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'amanamu_mod', 'weight': 1}]",['amulets'],AbyssModAmuletAmanamuPrefixGlobalDefences,"[{'id': 'global_defences_+%', 'max': 25, 'min': 15}]",[1]
EssenceGlobalDefences1,Essences,(20-30)% increased Global Defences,(20-30)% increased Global Defences,prefix,99,72,100,"[20, 30]",[],['AllDefences'],AllDefences,EssenceGlobalDefences1,[0],['official'],AllDefences,True,True,[],,[],['default'],,['amulets'],EssenceGlobalDefences1,"[{'id': 'unknown', 'min': 20, 'max': 30}]",[99]
AllResistances1,of the Crystal,+(3-5)% to all Elemental Resistances,+(3-5)% to all Elemental Resistances,suffix,1,12,100,"[3, 5]","['elemental', 'fire', 'cold', 'lightning', 'resistance']",['AllResistances'],AllResistances,AllResistances1,"[800, 800, 800]","['krakenbull', 'krakenbull', 'krakenbull']",AllResistances,True,False,"['elemental', 'fire', 'cold', 'lightning', 'resistance']","['elemental', 'fire', 'cold', 'lightning', 'resistance']",[],"['str_int_shield', 'ring', 'amulet', 'default']","[{'tag': 'str_int_shield', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['shields_str_int', 'rings', 'amulets']",AllResistances1,"[{'id': 'base_resist_all_elements_%', 'max': 5, 'min': 3}]","[6, 5, 6]"
AllResistances2,of the Prism,+(6-8)% to all Elemental Resistances,+(6-8)% to all Elemental Resistances,suffix,2,26,100,"[6, 8]","['elemental', 'fire', 'cold', 'lightning', 'resistance']",['AllResistances'],AllResistances,AllResistances2,"[800, 800, 800]","['krakenbull', 'krakenbull', 'krakenbull']",AllResistances,True,False,"['elemental', 'fire', 'cold', 'lightning', 'resistance']","['elemental', 'fire', 'cold', 'lightning', 'resistance']",[],"['str_int_shield', 'ring', 'amulet', 'default']","[{'tag': 'str_int_shield', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['shields_str_int', 'rings', 'amulets']",AllResistances2,"[{'id': 'base_resist_all_elements_%', 'max': 8, 'min': 6}]","[5, 4, 5]"
AllResistances3,of the Kaleidoscope,+(9-11)% to all Elemental Resistances,+(9-11)% to all Elemental Resistances,suffix,3,40,100,"[9, 11]","['elemental', 'fire', 'cold', 'lightning', 'resistance']",['AllResistances'],AllResistances,AllResistances3,"[800, 800, 800]","['krakenbull', 'krakenbull', 'krakenbull']",AllResistances,True,False,"['elemental', 'fire', 'cold', 'lightning', 'resistance']","['elemental', 'fire', 'cold', 'lightning', 'resistance']",[],"['str_int_shield', 'ring', 'amulet', 'default']","[{'tag': 'str_int_shield', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['shields_str_int', 'rings', 'amulets']",AllResistances3,"[{'id': 'base_resist_all_elements_%', 'max': 11, 'min': 9}]","[4, 3, 4]"
AllResistances4,of Variegation,+(12-14)% to all Elemental Resistances,+(12-14)% to all Elemental Resistances,suffix,4,54,100,"[12, 14]","['elemental', 'fire', 'cold', 'lightning', 'resistance']",['AllResistances'],AllResistances,AllResistances4,"[800, 800, 800]","['krakenbull', 'krakenbull', 'krakenbull']",AllResistances,True,False,"['elemental', 'fire', 'cold', 'lightning', 'resistance']","['elemental', 'fire', 'cold', 'lightning', 'resistance']",[],"['str_int_shield', 'ring', 'amulet', 'default']","[{'tag': 'str_int_shield', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['shields_str_int', 'rings', 'amulets']",AllResistances4,"[{'id': 'base_resist_all_elements_%', 'max': 14, 'min': 12}]","[3, 2, 3]"
AllResistances5,of the Rainbow,+(15-16)% to all Elemental Resistances,+(15-16)% to all Elemental Resistances,suffix,5,68,100,"[15, 16]","['elemental', 'fire', 'cold', 'lightning', 'resistance']",['AllResistances'],AllResistances,AllResistances5,"[800, 800, 800]","['krakenbull', 'krakenbull', 'krakenbull']",AllResistances,True,False,"['elemental', 'fire', 'cold', 'lightning', 'resistance']","['elemental', 'fire', 'cold', 'lightning', 'resistance']",[],"['str_int_shield', 'ring', 'amulet', 'default']","[{'tag': 'str_int_shield', 'weight': 1}, {'tag': 'ring', 'weight': 1}, {'tag': 'amulet', 'weight': 1}, {'tag': 'default', 'weight': 0}]","['shields_str_int', 'rings', 'amulets']",AllResistances5,"[{'id': 'base_resist_all_elements_%', 'max': 16, 'min': 15}]","[2, 1, 2]"
